input_seq,output_seq,text,metrics
"[1.129, 1.139, 1.145, 1.138, 1.133, 1.13, 1.126, 1.133, 1.153, 1.17, 1.171, 1.181, 1.21, 1.223]","[1.248, 1.287, 1.301]","Over the past fourteen weeks, gasoline retail prices have exhibited a pronounced upward trajectory. This sustained increase has been primarily driven by higher crude oil benchmarks, which have been pressured by production adjustments from major exporting nations. Concurrently, refinery operations have faced headwinds, including unplanned maintenance and weather-related disruptions, constraining the supply of finished motor fuel. These factors have coincided with a drawdown in gasoline inventories, indicating that available supply has struggled to keep pace with robust consumer demand, particularly during the peak driving season. The interplay of these fundamental market drivers has resulted in a clear and steady climb in prices paid at the pump.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.6894236485706253}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'mixed', 'vol_z': np.float64(0.5518326493301177), 'r2': np.float64(0.6954807271372192), 'diff_z': np.float64(0.3390492333996529)}, 'near_term': {'direction': 'rising', 'severity': 'pronounced', 'delta_z': 2.470949716139898}, 'future': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.7697342561515876}}"
"[1.145, 1.138, 1.133, 1.13, 1.126, 1.133, 1.153, 1.17, 1.171, 1.181, 1.21, 1.223, 1.248, 1.287]","[1.301, 1.318, 1.321]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced upward trend. This sustained increase has been primarily driven by a significant and steady rise in global crude oil benchmarks. Concurrently, refinery operations have faced challenges, with output periodically constrained by both planned maintenance and unexpected outages. These production issues have contributed to a tightening of gasoline inventories relative to robust consumer demand. The market has seen relatively low volatility, with the overall climb punctuated by minor, mixed fluctuations. Recent conditions have shown a moderate continuation of this upward movement.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.879329211164742}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': np.float64(0.45036985797344337), 'r2': np.float64(0.797166991026822), 'diff_z': np.float64(0.28877633135409764)}, 'near_term': {'direction': 'rising', 'severity': 'moderate', 'delta_z': 1.2652681481181374}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.41712136751084866}}"
"[1.133, 1.13, 1.126, 1.133, 1.153, 1.17, 1.171, 1.181, 1.21, 1.223, 1.248, 1.287, 1.301, 1.318]","[1.321, 1.323, 1.33]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced upward trend. This sustained increase has been primarily driven by higher crude oil benchmark costs and strong consumer demand. Refinery operations have faced intermittent pressures, contributing to the firming market. Concurrently, gasoline inventories have tightened significantly, failing to keep pace with consumption levels. The market's climb has been characterized by low volatility and a smooth progression, with no major disruptive events reported. The overall supply and demand balance has remained the central market driver throughout this period.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 3.040080341222228}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'smooth', 'vol_z': np.float64(0.2599982733368198), 'r2': np.float64(0.929308975378497), 'diff_z': np.float64(0.23202015753467167)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.3435608362824941}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.13641386146490547}}"
"[1.126, 1.133, 1.153, 1.17, 1.171, 1.181, 1.21, 1.223, 1.248, 1.287, 1.301, 1.318, 1.321, 1.323]","[1.33, 1.321, 1.315]","Over the past fourteen weeks, gasoline retail prices have exhibited a pronounced upward trajectory. This sustained increase has been primarily driven by a confluence of market factors. Global crude benchmarks have experienced significant gains, while refinery operations have been constrained by both planned seasonal maintenance and unplanned outages. Concurrently, regional fuel inventories have tightened considerably. Consumer and industrial demand has remained robust, further pressuring the supply chain. The market's movement has been characterized by low volatility, resulting in a smooth and consistent climb in costs. More recently, this upward trend has moderated, with prices entering a period of relative steadiness.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.2506994425803426}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'smooth', 'vol_z': np.float64(0.11636415742835676), 'r2': np.float64(0.9729524212376139), 'diff_z': np.float64(0.15255416718203416)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.013422701680989678}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.15100539391092524}}"
"[1.153, 1.17, 1.171, 1.181, 1.21, 1.223, 1.248, 1.287, 1.301, 1.318, 1.321, 1.323, 1.33, 1.321]","[1.315, 1.307, 1.302]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced upward trend. This sustained increase has been primarily driven by a significant and persistent rally in global crude oil benchmarks, which has elevated input costs for refineries. Concurrently, refinery operations in key regions have faced sporadic disruptions, contributing to tighter fuel supplies. These factors have coincided with robust consumer demand, which has remained strong throughout the period. Additionally, inventory levels for gasoline have drawn down, further supporting the higher price environment. The market's movement has been characterized by a smooth and steady climb with minimal volatility, reflecting these fundamental supply and demand pressures.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.512323379303599}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'smooth', 'vol_z': np.float64(0.20505303374021167), 'r2': np.float64(0.9352077928212024), 'diff_z': np.float64(0.17707167432758567)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.20626628729915802}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.1608877040931013}}"
"[1.171, 1.181, 1.21, 1.223, 1.248, 1.287, 1.301, 1.318, 1.321, 1.323, 1.33, 1.321, 1.315, 1.307]","[1.302, 1.289, 1.279]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced upward trend. This sustained increase has been primarily driven by a significant and sustained rally in key global crude oil benchmarks. Concurrently, refinery operations have faced challenges, with output levels impacted by both planned seasonal maintenance and unplanned outages. These factors have contributed to a drawdown on gasoline inventories, tightening supply at a time when consumer demand has remained robust. The market has seen relatively low price volatility throughout this period, with the fundamental drivers of high crude costs and constrained refinery production consistently exerting upward pressure on pump prices, despite some minor recent stabilization.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.8551949097738483}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': np.float64(0.46490921640903704), 'r2': np.float64(0.7838594204951845), 'diff_z': np.float64(0.255114060136629)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.4434125330946165}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.4191159559381211}}"
"[1.21, 1.223, 1.248, 1.287, 1.301, 1.318, 1.321, 1.323, 1.33, 1.321, 1.315, 1.307, 1.302, 1.289]","[1.279, 1.276, 1.273]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced upward trend. This sustained increase has been primarily driven by a combination of factors, including rising crude oil benchmarks and strong consumer demand. Refinery operations have faced intermittent challenges, contributing to a choppy price path rather than a smooth ascent. Concurrently, gasoline inventories have tightened, failing to keep pace with consumption levels. These market fundamentals have collectively established a period of significant price appreciation at the pump.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.1329646637954327}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.7500295982901319), 'r2': np.float64(0.4374556016876987), 'diff_z': np.float64(0.33486350766132744)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.6309022608111983}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.1622320099226357}}"
"[1.248, 1.287, 1.301, 1.318, 1.321, 1.323, 1.33, 1.321, 1.315, 1.307, 1.302, 1.289, 1.279, 1.276]","[1.273, 1.272, 1.263]","Over the past fourteen weeks, gasoline prices have exhibited a generally steady trend, characterized by mild, choppy fluctuations. This market behavior has been primarily driven by balanced global crude benchmarks and stable domestic refinery operations. Inventory levels have remained adequate, providing a consistent supply buffer. Consumer demand has followed typical seasonal patterns, showing no significant deviations. Furthermore, the absence of major weather-related disruptions to either production or distribution infrastructure has contributed to the overall market stability, preventing any sharp directional moves in the retail sector.","{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.05489362024952784}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.9076393307976518), 'r2': np.float64(0.000351585741713345), 'diff_z': np.float64(0.4276491528441374)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.49053873414474586}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.4087822784533417}}"
"[1.301, 1.318, 1.321, 1.323, 1.33, 1.321, 1.315, 1.307, 1.302, 1.289, 1.279, 1.276, 1.273, 1.272]","[1.263, 1.253, 1.248]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced decline. This downward trajectory has been primarily driven by lower crude oil benchmarks, as global supply has remained robust. Concurrently, refinery operations have generally been stable, contributing to adequate fuel inventories. Consumer demand has been seasonally typical, without significant surges to counteract the building stockpiles. The market has also been unaffected by major weather-related disruptions that [redacted] have constrained supply or altered consumption patterns. The overall trend has been characterized by a steady and consistent decrease, with low volatility observed throughout the period.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.1665460758058264}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': np.float64(0.45462113911787616), 'r2': np.float64(0.6859051600554991), 'diff_z': np.float64(0.2735696786576471)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.7766863290625007}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.6131734176800081}}"
"[1.321, 1.323, 1.33, 1.321, 1.315, 1.307, 1.302, 1.289, 1.279, 1.276, 1.273, 1.272, 1.263, 1.253]","[1.248, 1.249, 1.253]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced decline. This downward trajectory has been primarily driven by lower crude oil benchmark costs, as global supply has remained robust. Concurrently, refinery operations have run smoothly, bolstering fuel inventories. Consumer demand has been stable, though typical seasonal variations have been observed. The market has not experienced significant disruptions from adverse weather events, allowing for consistent distribution. The overall trend has been characterized by a smooth and steady descent with low volatility, reflecting these balanced supply and demand fundamentals.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.25723988320067}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'smooth', 'vol_z': np.float64(0.16252515835965908), 'r2': np.float64(0.9488420617819657), 'diff_z': np.float64(0.19400068666650833)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.3714586791211472}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.14662842596864897}}"
