input_seq,output_seq,text,consistency,metrics
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.5, 1.0]","[0.0909090909090909, 0.0, 0.3]","Over the past [redacted]weeks, national surveillance summaries across African regions have shown a clear pattern in syndromic respiratory activity. Reports initially indicated a period of rising case detections, with elevated momentum observed in several sentinel sites. This upward trend has recently shifted, with a declining number of reports now being documented. The easing back has been noted amid regional heterogeneity and the typical seasonality of certain areas, while public health guidance has remained in effect. Co-circulation with other common respiratory pathogens has also been reported in some jurisdictions. Despite known reporting lags and occasional access constraints affecting data completeness in certain locations, the overall activity has moved lower and now appears to be stabilizing, with current levels broadly unchanged from the most recent assessments.",1,"{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.406422086126107}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.6657220446288618, 'r2_linear': 0.5568141592924307, 'diff_z': 0.4530649435955833}, 'near_term': {'direction': 'falling', 'severity': 'moderate', 'delta_z': -1.3064745464410823}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.7389077352811432}}"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.5, 1.0, 0.0909090909090909, 0.0]","[0.3, 0.0, 0.1111111111111111]","Over the past [redacted]weeks, national surveillance summaries and sentinel site reports from across Africa have indicated a rising trend in syndromic respiratory activity. This upward momentum has been observed with regional heterogeneity, as reports from West, East, Central, Southern, and North Africa have shown varying intensities. The increase has been noted alongside typical seasonal factors and periods of heightened mobility. In recent weeks, this activity has shifted to a broadly unchanged state, with reports indicating a stable level of cases. This current steady pattern is supported by the latest available data, which has been compiled despite known reporting cadence lags and occasional access constraints in some areas. Co-circulation with other common respiratory pathogens has also been reported in several regional updates. Public health guidance and existing vaccination efforts have remained in effect throughout this period.",1,"{'past': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.3811360107601913}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.903649827925763, 'r2_linear': 0.18341698848463928, 'diff_z': 0.7345072801764053}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.811389418467597}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.6763587871614254}}"
"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.5, 1.0, 0.0909090909090909, 0.0, 0.3, 0.0]","[0.1111111111111111, 0.2222222222222222, 0.1]","Over the past [redacted]weeks, national surveillance summaries and sentinel site reports across Africa have indicated a steady level of syndromic respiratory activity. This broadly unchanged trend has been observed despite regional heterogeneity, with reports from West, East, Central, Southern, and North Africa showing stable patterns. The co-circulation of other common respiratory pathogens has been noted in some areas, while seasonal factors and established public health guidance have remained in effect. While reporting cadence and data completeness have varied, and some access constraints have been noted, the overall picture from the available data is one of stable activity, with no significant shifts in the near-term reports. The situation has remained little changed throughout this period.",1,"{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.5031417226819922}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.9321672462271998, 'r2_linear': 0.02724965700871973, 'diff_z': 0.8671449477796785}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.1533725757977664}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.03834314394938402}}"
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.5, 1.0, 0.0909090909090909, 0.0, 0.3, 0.0, 0.1111111111111111, 0.2222222222222222]","[0.1, 0.1428571428571428, 0.1428571428571428]","Over the past [redacted]weeks, national surveillance summaries and sentinel site reports across Africa have indicated a broadly unchanged level of syndromic respiratory activity. This stable trend has been observed despite regional heterogeneity, with reports from West, East, Central, Southern, and North Africa all contributing to a flat overall picture. The period has been characterized by the typical co-circulation of multiple respiratory pathogens, and activity has remained little changed even with seasonal transitions and established population mobility patterns. Existing public health guidance and vaccination efforts have continued in many areas. While reporting cadence and occasional access constraints have been noted in some locations, the data completeness has been sufficient to confirm that the situation has been steady, with no significant shifts in the near term.",1,"{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.40385116626390655}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.9921278722750136, 'r2_linear': 0.01568228504853464, 'diff_z': 1.0300343366734177}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.06701315293189193}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.1644868299234881}}"
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.5, 1.0, 0.0909090909090909, 0.0, 0.3, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1, 0.1428571428571428]","[0.1428571428571428, 0.1, 0.1]","Over the past [redacted]weeks, national surveillance summaries and sentinel site reports from across Africa have indicated a rising trend in syndromic respiratory activity. This upward movement has been observed with regional heterogeneity, as reports from West, East, Central, Southern, and North Africa have shown varying intensities. The increasing momentum has since leveled off, with recent data indicating a steady pattern in reported activity. This stabilization coincides with typical seasonal factors, the co-circulation of other respiratory pathogens, and the continuation of existing public health guidance and vaccination efforts. The current situation is broadly unchanged, with reporting cadence and known data lags being factored into this assessment. The overall activity has remained stable, reflecting the complex interplay of regional mobility, access constraints noted in some areas, and established surveillance systems.",0,"{'past': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.112613586335406}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.938600175354253, 'r2_linear': 0.1190297108190368, 'diff_z': 0.9990927265702844}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.15935178765086905}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.16762980259351973}}"
"[0.3333333333333333, 0.0, 0.5, 1.0, 0.0909090909090909, 0.0, 0.3, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1, 0.1428571428571428, 0.1428571428571428, 0.1]","[0.1, 0.0, 0.2]","Over the past [redacted]weeks, national surveillance summaries and sentinel site reports from across Africa have indicated a falling trend in syndromic respiratory activity. This broad decline has been observed despite regional heterogeneity, with varying reports from West, East, Central, Southern, and North Africa. In the most recent reporting period, this activity has become broadly unchanged, stabilizing at its current level. This steady near-term picture has been shaped by several factors, including typical seasonality, existing public health guidance, and the co-circulation of other respiratory pathogens. Data completeness has been affected by known reporting lags and, in some areas, access constraints. The overall situation is now stable, with no significant shift in momentum currently observed.",1,"{'past': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.1462307606268483}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.9347024950028588, 'r2_linear': 0.12633124582956545, 'diff_z': 1.0090863501366685}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.11143284848134967}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.3900149696841397}}"
"[0.5, 1.0, 0.0909090909090909, 0.0, 0.3, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1, 0.1428571428571428, 0.1428571428571428, 0.1, 0.1, 0.0]","[0.2, 0.1666666666666666, 0.3333333333333333]","Over the past [redacted]weeks, national surveillance summaries across Africa have shown a clear downward trend in reported syndromic respiratory activity. This overall decline has recently given way to a broadly unchanged pattern, with current levels stabilizing. Regional heterogeneity has persisted, with some variation observed between West, East, Central, Southern, and North African countries, influenced by seasonal factors and local reporting cadence. Co-circulation of other respiratory pathogens has been noted in some areas, while public health guidance and vaccination efforts have remained in effect. Despite known data lags and occasional access constraints noted in certain regions, the overall picture has transitioned from a period of easing back to a stable, flat trajectory.",1,"{'past': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.7520806617653728}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.8395404738139467, 'r2_linear': 0.29517179282351425, 'diff_z': 0.7906071228133568}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.6512846847557222}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.5210277478037962}}"
"[0.0909090909090909, 0.0, 0.3, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1, 0.1428571428571428, 0.1428571428571428, 0.1, 0.1, 0.0, 0.2, 0.1666666666666666]","[0.3333333333333333, 0.0, 0.6666666666666666]","Over the past [redacted]weeks, national surveillance summaries and sentinel site reports from across Africa have indicated a period of steady respiratory and syndromic activity. This stable pattern has been observed with regional heterogeneity, as reporting from West, East, Central, Southern, and North Africa has shown varied local intensities. However, recent reports confirm a distinct upward shift in this activity, marking a clear departure from the previous stability. This increasing trend has been noted amidst typical seasonal influences, co-circulation of other respiratory pathogens, and ongoing public health guidance. While reporting cadence and occasional access constraints have affected data completeness in some areas, the overall observed momentum is now elevated and continues to move higher.",1,"{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.31930565252560217}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.9950861916676983, 'r2_linear': 0.009803471138707054, 'diff_z': 1.338576317165992}, 'near_term': {'direction': 'rising', 'severity': 'pronounced', 'delta_z': 2.525883815475742}, 'future': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 3.9882376033767675}}"
"[0.3, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1, 0.1428571428571428, 0.1428571428571428, 0.1, 0.1, 0.0, 0.2, 0.1666666666666666, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.6666666666666666]","Over the past [redacted]weeks, national surveillance summaries and sentinel site reports from across Africa have indicated a period of broadly unchanged respiratory and syndromic activity. This stable pattern has been observed with regional heterogeneity, as reports from West, East, Central, Southern, and North Africa have shown varying intensities. However, recent reports confirm a distinct upward shift in this activity, marking a change from the prior steady trend. This increasing momentum coincides with typical seasonal factors and population mobility patterns. Co-circulation with other common respiratory pathogens has also been noted in several areas. While reporting cadence and data completeness have been affected by known access constraints in some regions, the overall near-term picture shows elevated momentum. Public health guidance and vaccination efforts that are already in effect continue to be emphasized in response to the observed rise.",1,"{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.161024776877771}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.9987526365143908, 'r2_linear': 0.002493171042694975, 'diff_z': 1.2097034610724546}, 'near_term': {'direction': 'rising', 'severity': 'pronounced', 'delta_z': 3.911579211691134}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.0}}"
"[0.1111111111111111, 0.2222222222222222, 0.1, 0.1428571428571428, 0.1428571428571428, 0.1, 0.1, 0.0, 0.2, 0.1666666666666666, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.8636363636363636, 0.8695652173913043]","Over the past [redacted]weeks, national surveillance summaries across Africa have shown a rising trend in syndromic respiratory activity. This upward movement has been observed with elevated momentum in the most recent reports, indicating a pronounced near-term shift. While regional heterogeneity persists, with varying intensities reported across West, East, Central, Southern, and North Africa, the overall trajectory continues to increase. This activity has been noted against a backdrop of seasonal factors, including specific rainy and dry periods, and co-circulation with other common respiratory pathogens. Public health guidance and vaccination efforts have remained in effect, though some areas have reported challenges related to data completeness and access constraints. The consistent upward trend reflects the current epidemiological picture based on available sentinel site reports.",1,"{'past': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.485129743312688}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.8876497514721416, 'r2_linear': 0.21207791870393233, 'diff_z': 1.0089069539610163}, 'near_term': {'direction': 'rising', 'severity': 'pronounced', 'delta_z': 2.8434214532135242}, 'future': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.2363865518895791}}"
