input_seq,output_seq,text,consistency,metrics
"[4.0, 4.7, 4.5, 4.0, 3.4, 3.9, 3.9, 3.6, 3.4, 2.9, 3.3, 3.6, 5.0, 5.8]","[5.6, 5.4, 5.7]","Over the past fourteen months, the U.S. unemployment situation has been broadly unchanged, reflecting a steady labor market. This period of stability has now given way to a clear upward shift in joblessness, with conditions moving higher in the near term. The overall trend is [redacted] to return to a stable pattern. Official reports have consistently documented differences across racial groups, with some groups historically experiencing higher unemployment rates than others. These observed disparities have persisted throughout the period, remaining a feature of the labor market landscape even as it transitioned from a steady state to its current rising phase. The data reflects conditions shaped by previously reported sectoral shifts, seasonal patterns, and other documented economic factors.",1,"{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.36120466176081234}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.9937076644244962, 'r2_linear': 0.012545077661484383, 'diff_z': 0.662110018285}, 'near_term': {'direction': 'rising', 'severity': 'moderate', 'delta_z': 1.0310984138917445}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.13449109746393959}}"
"[4.5, 4.0, 3.4, 3.9, 3.9, 3.6, 3.4, 2.9, 3.3, 3.6, 5.0, 5.8, 5.6, 5.4]","[5.7, 6.4, 7.0]","Over the past fourteen months, the U.S. unemployment situation has followed a rising trajectory, reflecting broader shifts in labor demand and documented sectoral adjustments. The trend has recently stabilized, with conditions remaining broadly unchanged in the most recent period. This period of steadiness follows a sustained period of increasing joblessness. Official reports have consistently highlighted significant differences across racial groups, with one group experiencing a more pronounced upward trend in unemployment compared to others, a pattern that has been a persistent feature of the labor market landscape. These observed disparities are structured within the standard demographic breakdowns of government data releases. The overall labor market dynamic continues to be shaped by previously reported factors including seasonal patterns and resolved labor disruptions.",1,"{'past': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.764202598753288}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.8370960099406337, 'r2_linear': 0.29927027013997876, 'diff_z': 0.503118128217893}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.8499001148991546}, 'future': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.441134977435532}}"
"[3.4, 3.9, 3.9, 3.6, 3.4, 2.9, 3.3, 3.6, 5.0, 5.8, 5.6, 5.4, 5.7, 6.4]","[7.0, 6.3, 5.9]","Over the past fourteen months, U.S. unemployment conditions have followed a clear upward trajectory, a trend documented across multiple official labor reports. This rising pattern has been observed alongside previously reported shifts in sectoral hiring and layoffs, as well as documented supply chain and weather-related disruptions. More recently, the overall unemployment situation has stabilized, remaining broadly unchanged. Official data releases have consistently highlighted differences in labor market outcomes across racial groups, with some groups experiencing the upward movement in unemployment at a different intensity than others. These reported disparities are a recurring feature of the government's labor statistics, reflecting patterns structured within the demographic segments of the survey. The current assessment indicates a steady near-term condition, with no significant shift in the underlying trend.",1,"{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.5269314524653868}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'mixed', 'vol_z': 0.5328151458959784, 'r2_linear': 0.683816542951351, 'diff_z': 0.3761583081693224}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.4777642879621867}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.927424794278145}}"
"[3.9, 3.6, 3.4, 2.9, 3.3, 3.6, 5.0, 5.8, 5.6, 5.4, 5.7, 6.4, 7.0, 6.3]","[5.9, 6.1, 5.7]","Over the past fourteen months, U.S. unemployment conditions have followed a clear upward trajectory, a trend documented across multiple official labor reports. This rising pattern has been observed alongside previously reported sectoral shifts in hiring and layoffs, as well as other documented economic disruptions. In recent periods, the overall unemployment situation has stabilized and is now broadly unchanged. Analysis of the data as structured by official reporting bodies shows that this upward movement and subsequent stabilization have not been uniform across racial groups. Measured differences in unemployment conditions between these groups have persisted throughout this period, reflecting patterns consistently detailed in government releases. The labor market has entered a phase of relative stability, with the overall picture little changed from its recent level.",1,"{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.0427434429850315}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': 0.3120592384499386, 'r2_linear': 0.804695825550891, 'diff_z': 0.2739470161564999}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.35972840505399006}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.1079185215160352}}"
"[3.4, 2.9, 3.3, 3.6, 5.0, 5.8, 5.6, 5.4, 5.7, 6.4, 7.0, 6.3, 5.9, 6.1]","[5.7, 6.0, 7.6]","Over the past fourteen months, the U.S. unemployment situation has followed a clear upward trajectory, a trend that has been broadly documented across various sectors and labor market reports. This increasing pattern has recently shown signs of stabilizing, with conditions appearing broadly unchanged in the most recent observations. Official data releases have consistently highlighted distinct differences in labor market outcomes across racial groups, with some groups experiencing a more pronounced upward trend in unemployment compared to others. These reported disparities have persisted even as the overall situation steadied, reflecting patterns long structured within government labor statistics. The underlying conditions, shaped by previously reported shifts in labor demand and other observed economic factors, suggest the potential for a resumption of the rising trend in the period ahead.",1,"{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.8119490032214722}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': 0.4895978337119458, 'r2_linear': 0.7602939612242041, 'diff_z': 0.4044914987458445}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.26161141709930297}, 'future': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.491185077463787}}"
"[3.3, 3.6, 5.0, 5.8, 5.6, 5.4, 5.7, 6.4, 7.0, 6.3, 5.9, 6.1, 5.7, 6.0]","[7.6, 7.9, 7.1]","Over the past fourteen months, U.S. unemployment conditions have followed a rising trajectory, a trend that has recently firmed. This upward movement has been observed across the labor market, reflecting previously documented shifts in sectoral demand and other resolved economic disruptions. Official reports have consistently highlighted differences in labor market outcomes among racial groups, with some groups experiencing a more pronounced increase in joblessness than others. These reported disparities have persisted throughout the period. The overall trend has now moved to a steady state, remaining broadly unchanged in the latest observations as the labor market absorbs these ongoing dynamics without a clear directional shift.",1,"{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.279379480349718}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.7074078619358987, 'r2_linear': 0.49957411687029185, 'diff_z': 0.5127138933948907}, 'near_term': {'direction': 'rising', 'severity': 'moderate', 'delta_z': 1.6406844588636516}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.5127138933941219}}"
"[5.0, 5.8, 5.6, 5.4, 5.7, 6.4, 7.0, 6.3, 5.9, 6.1, 5.7, 6.0, 7.6, 7.9]","[7.1, 6.0, 5.3]","Over the past fourteen months, U.S. unemployment conditions have followed a distinct trajectory, moving higher before a recent reversal. The upward trend has been pronounced, reflecting documented shifts in labor demand across several sectors, alongside other observed economic pressures. Recently, however, the jobless situation has shown a moderate improvement, with the overall rate now declining. This downward movement has been accompanied by a persistent pattern of differences among racial groups, as consistently structured in official reporting. While the overall situation is easing, these reported disparities have remained a notable feature of the labor landscape throughout the period. The current downward momentum appears to be establishing a more pronounced trend as labor market conditions continue to evolve.",1,"{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.2744275165072922}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.7089387702843348, 'r2_linear': 0.49740581998652245, 'diff_z': 0.6512249726752046}, 'near_term': {'direction': 'falling', 'severity': 'moderate', 'delta_z': -1.3056898705876008}, 'future': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.27442751650402}}"
"[5.6, 5.4, 5.7, 6.4, 7.0, 6.3, 5.9, 6.1, 5.7, 6.0, 7.6, 7.9, 7.1, 6.0]","[5.3, 5.6, 5.3]","Over the past fourteen months, U.S. unemployment conditions have followed a distinct trajectory, moving higher before a recent reversal. The upward trend was observed across the labor market, though official reports have consistently documented differences in unemployment levels among racial groups. This pattern of increasing joblessness has since shifted, with recent data indicating a pronounced downward movement in the overall rate. The easing has been noted in the context of previously reported sectoral hiring shifts, resolved labor actions, and the ongoing influence of public programs. Despite this recent decline, the broader trend is now assessed as steady, with conditions appearing broadly unchanged in the latest observations. The differential impacts across demographic segments, as structured in official releases, have persisted throughout these fluctuations.",1,"{'past': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.744765169244805}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.8410041219236005, 'r2_linear': 0.29271206690570617, 'diff_z': 0.784628123447416}, 'near_term': {'direction': 'falling', 'severity': 'pronounced', 'delta_z': -2.147403285224508}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.0}}"
"[5.7, 6.4, 7.0, 6.3, 5.9, 6.1, 5.7, 6.0, 7.6, 7.9, 7.1, 6.0, 5.3, 5.6]","[5.3, 4.1, 4.0]","Over the past fourteen months, the U.S. unemployment situation has been broadly unchanged, reflecting a steady labor market. Recent months, however, have shown a clear downward shift in joblessness, a trend that has continued into the most current data. This easing has been observed across many sectors, influenced by previously documented hiring patterns and resolved seasonal factors. Official reports continue to highlight persistent differences in unemployment conditions across racial groups, with some groups experiencing higher levels of joblessness than others. These reported disparities have remained a consistent feature of the labor landscape throughout the period, even as the overall trend has moved lower. The current data indicates a continuing decline in unemployment.",1,"{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.07574181958547256}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.999724153143598, 'r2_linear': 0.0005516176187920774, 'diff_z': 0.8258771481724084}, 'near_term': {'direction': 'falling', 'severity': 'moderate', 'delta_z': -1.5463954832034816}, 'future': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.7231263955670084}}"
"[7.0, 6.3, 5.9, 6.1, 5.7, 6.0, 7.6, 7.9, 7.1, 6.0, 5.3, 5.6, 5.3, 4.1]","[4.0, 3.3, 3.8]","Over the past fourteen months, U.S. unemployment has followed a declining trajectory, a trend that has continued in the most recent period. This broad easing has been observed across many sectors, influenced by previously documented shifts in labor demand and seasonal patterns. However, official reports continue to show distinct differences across racial groups, with some groups historically experiencing higher unemployment rates than others. These reported disparities have persisted even as the overall labor market has improved. The underlying conditions appear to have stabilized, suggesting the unemployment situation is now broadly unchanged from its recent, lower level. This observed stability follows a period of sustained decline and reflects the complex interplay of economic factors already in motion.",1,"{'past': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.5345814306183998}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': 0.8795245564846697, 'r2_linear': 0.22643655453890332, 'diff_z': 0.6607320373420372}, 'near_term': {'direction': 'falling', 'severity': 'moderate', 'delta_z': -1.3453459555518583}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.20697630085382188}}"
