train_step 1	train_loss 1.0634	CE_Loss 1.0634
train_step 2	train_loss 1.0266	CE_Loss 1.0266
train_step 3	train_loss 1.0065	CE_Loss 1.0065
train_step 4	train_loss 1.1472	CE_Loss 1.1472
train_step 5	train_loss 1.0633	CE_Loss 1.0633
train_step 6	train_loss 0.9727	CE_Loss 0.9727
train_step 7	train_loss 1.0254	CE_Loss 1.0254
train_step 8	train_loss 1.1829	CE_Loss 1.1829
train_step 9	train_loss 1.1256	CE_Loss 1.1256
train_step 10	train_loss 0.9691	CE_Loss 0.9691
train_step 11	train_loss 0.9995	CE_Loss 0.9995
train_step 12	train_loss 1.0130	CE_Loss 1.0130
train_step 13	train_loss 1.1118	CE_Loss 1.1118
train_step 14	train_loss 1.1099	CE_Loss 1.1099
train_step 15	train_loss 1.1775	CE_Loss 1.1775
train_step 16	train_loss 1.0864	CE_Loss 1.0864
train_step 17	train_loss 1.0348	CE_Loss 1.0348
train_step 18	train_loss 1.1062	CE_Loss 1.1062
train_step 19	train_loss 1.0761	CE_Loss 1.0761
train_step 20	train_loss 0.9526	CE_Loss 0.9526
train_step 21	train_loss 1.1010	CE_Loss 1.1010
train_step 22	train_loss 0.9583	CE_Loss 0.9583
train_step 23	train_loss 1.0261	CE_Loss 1.0261
train_step 24	train_loss 0.9730	CE_Loss 0.9730
train_step 25	train_loss 1.0345	CE_Loss 1.0345
train_step 26	train_loss 1.0449	CE_Loss 1.0449
train_step 27	train_loss 1.0462	CE_Loss 1.0462
train_step 28	train_loss 1.0791	CE_Loss 1.0791
train_step 29	train_loss 0.9801	CE_Loss 0.9801
train_step 30	train_loss 1.0554	CE_Loss 1.0554
train_step 31	train_loss 1.3700	CE_Loss 1.3700
train_step 32	train_loss 1.0866	CE_Loss 1.0866
train_step 33	train_loss 1.0567	CE_Loss 1.0567
train_step 34	train_loss 1.0853	CE_Loss 1.0853
train_step 35	train_loss 0.9033	CE_Loss 0.9033
train_step 36	train_loss 0.9970	CE_Loss 0.9970
train_step 37	train_loss 0.9839	CE_Loss 0.9839
train_step 38	train_loss 0.9546	CE_Loss 0.9546
train_step 39	train_loss 1.0076	CE_Loss 1.0076
train_step 40	train_loss 0.8242	CE_Loss 0.8242
train_step 41	train_loss 1.0375	CE_Loss 1.0375
train_step 42	train_loss 1.4107	CE_Loss 1.4107
train_step 43	train_loss 0.9283	CE_Loss 0.9283
train_step 44	train_loss 0.8549	CE_Loss 0.8549
train_step 45	train_loss 1.3621	CE_Loss 1.3621
train_step 46	train_loss 0.9485	CE_Loss 0.9485
train_step 47	train_loss 0.9816	CE_Loss 0.9816
train_step 48	train_loss 0.9984	CE_Loss 0.9984
train_step 49	train_loss 1.0758	CE_Loss 1.0758
train_step 50	train_loss 1.1098	CE_Loss 1.1098
train_step 51	train_loss 1.3428	CE_Loss 1.3428
train_step 52	train_loss 0.9731	CE_Loss 0.9731
train_step 53	train_loss 0.9740	CE_Loss 0.9740
train_step 54	train_loss 1.2120	CE_Loss 1.2120
train_step 55	train_loss 1.0497	CE_Loss 1.0497
train_step 56	train_loss 0.8879	CE_Loss 0.8879
train_step 57	train_loss 0.9503	CE_Loss 0.9503
train_step 58	train_loss 0.9232	CE_Loss 0.9232
train_step 59	train_loss 1.1330	CE_Loss 1.1330
train_step 60	train_loss 1.2836	CE_Loss 1.2836
train_step 61	train_loss 1.0943	CE_Loss 1.0943
train_step 62	train_loss 1.0026	CE_Loss 1.0026
train_step 63	train_loss 1.3725	CE_Loss 1.3725
train_step 64	train_loss 0.8613	CE_Loss 0.8613
train_step 65	train_loss 1.1785	CE_Loss 1.1785
train_step 66	train_loss 0.9241	CE_Loss 0.9241
train_step 67	train_loss 0.8208	CE_Loss 0.8208
train_step 68	train_loss 0.9148	CE_Loss 0.9148
train_step 69	train_loss 0.9576	CE_Loss 0.9576
train_step 70	train_loss 0.8257	CE_Loss 0.8257
train_step 71	train_loss 0.8873	CE_Loss 0.8873
train_step 72	train_loss 0.9122	CE_Loss 0.9122
train_step 73	train_loss 1.0342	CE_Loss 1.0342
train_step 74	train_loss 1.0506	CE_Loss 1.0506
train_step 75	train_loss 1.0310	CE_Loss 1.0310
train_step 76	train_loss 0.9135	CE_Loss 0.9135
train_step 77	train_loss 1.0491	CE_Loss 1.0491
train_step 78	train_loss 1.0506	CE_Loss 1.0506
train_step 79	train_loss 1.3667	CE_Loss 1.3667
train_step 80	train_loss 0.9351	CE_Loss 0.9351
train_step 81	train_loss 0.8973	CE_Loss 0.8973
train_step 82	train_loss 1.0394	CE_Loss 1.0394
train_step 83	train_loss 0.7623	CE_Loss 0.7623
train_step 84	train_loss 0.8637	CE_Loss 0.8637
train_step 85	train_loss 1.0010	CE_Loss 1.0010
train_step 86	train_loss 1.0249	CE_Loss 1.0249
train_step 87	train_loss 1.5098	CE_Loss 1.5098
train_step 88	train_loss 1.7146	CE_Loss 1.7146
train_step 89	train_loss 0.8413	CE_Loss 0.8413
train_step 90	train_loss 1.5752	CE_Loss 1.5752
train_step 91	train_loss 1.0122	CE_Loss 1.0122
train_step 92	train_loss 1.4762	CE_Loss 1.4762
train_step 93	train_loss 0.8036	CE_Loss 0.8036
train_step 94	train_loss 0.8365	CE_Loss 0.8365
train_step 95	train_loss 1.4898	CE_Loss 1.4898
train_step 96	train_loss 1.4813	CE_Loss 1.4813
train_step 97	train_loss 0.8605	CE_Loss 0.8605
train_step 98	train_loss 0.8522	CE_Loss 0.8522
train_step 99	train_loss 0.9719	CE_Loss 0.9719
train_step 100	train_loss 1.0760	CE_Loss 1.0760
train_step 101	train_loss 0.8121	CE_Loss 0.8121
train_step 102	train_loss 0.7743	CE_Loss 0.7743
train_step 103	train_loss 0.7980	CE_Loss 0.7980
train_step 104	train_loss 0.8268	CE_Loss 0.8268
train_step 105	train_loss 1.0899	CE_Loss 1.0899
train_step 106	train_loss 0.8824	CE_Loss 0.8824
train_step 107	train_loss 0.7105	CE_Loss 0.7105
train_step 108	train_loss 0.8347	CE_Loss 0.8347
train_step 109	train_loss 1.1276	CE_Loss 1.1276
train_step 110	train_loss 1.0809	CE_Loss 1.0809
train_step 111	train_loss 1.2454	CE_Loss 1.2454
train_step 112	train_loss 1.2701	CE_Loss 1.2701
train_step 113	train_loss 1.0649	CE_Loss 1.0649
train_step 114	train_loss 1.0020	CE_Loss 1.0020
train_step 115	train_loss 0.9010	CE_Loss 0.9010
train_step 116	train_loss 0.7754	CE_Loss 0.7754
train_step 117	train_loss 1.5773	CE_Loss 1.5773
train_step 118	train_loss 0.6906	CE_Loss 0.6906
train_step 119	train_loss 0.7212	CE_Loss 0.7212
train_step 120	train_loss 0.7777	CE_Loss 0.7777
train_step 121	train_loss 1.0988	CE_Loss 1.0988
train_step 122	train_loss 0.8554	CE_Loss 0.8554
train_step 123	train_loss 1.0838	CE_Loss 1.0838
train_step 124	train_loss 1.0500	CE_Loss 1.0500
train_step 125	train_loss 1.1212	CE_Loss 1.1212
train_step 126	train_loss 0.8826	CE_Loss 0.8826
train_step 127	train_loss 0.7935	CE_Loss 0.7935
train_step 128	train_loss 1.0192	CE_Loss 1.0192
train_step 129	train_loss 0.7672	CE_Loss 0.7672
train_step 130	train_loss 0.7888	CE_Loss 0.7888
train_step 131	train_loss 0.9470	CE_Loss 0.9470
train_step 132	train_loss 1.0825	CE_Loss 1.0825
train_step 133	train_loss 1.1067	CE_Loss 1.1067
train_step 134	train_loss 0.7743	CE_Loss 0.7743
train_step 135	train_loss 0.9570	CE_Loss 0.9570
train_step 136	train_loss 1.7339	CE_Loss 1.7339
train_step 137	train_loss 0.9555	CE_Loss 0.9555
train_step 138	train_loss 1.0976	CE_Loss 1.0976
train_step 139	train_loss 0.8455	CE_Loss 0.8455
train_step 140	train_loss 0.8916	CE_Loss 0.8916
train_step 141	train_loss 0.9659	CE_Loss 0.9659
train_step 142	train_loss 1.7717	CE_Loss 1.7717
train_step 143	train_loss 0.9618	CE_Loss 0.9618
train_step 144	train_loss 0.8516	CE_Loss 0.8516
train_step 145	train_loss 0.9258	CE_Loss 0.9258
train_step 146	train_loss 1.0427	CE_Loss 1.0427
train_step 147	train_loss 0.8887	CE_Loss 0.8887
train_step 148	train_loss 0.8052	CE_Loss 0.8052
train_step 149	train_loss 0.9751	CE_Loss 0.9751
train_step 150	train_loss 0.9249	CE_Loss 0.9249
train_step 151	train_loss 0.7791	CE_Loss 0.7791
train_step 152	train_loss 1.0014	CE_Loss 1.0014
train_step 153	train_loss 0.9797	CE_Loss 0.9797
train_step 154	train_loss 0.9489	CE_Loss 0.9489
train_step 155	train_loss 0.8846	CE_Loss 0.8846
train_step 156	train_loss 0.9740	CE_Loss 0.9740
train_step 157	train_loss 1.0127	CE_Loss 1.0127
train_step 158	train_loss 0.8178	CE_Loss 0.8178
train_step 159	train_loss 1.7628	CE_Loss 1.7628
train_step 160	train_loss 0.8924	CE_Loss 0.8924
train_step 161	train_loss 0.9178	CE_Loss 0.9178
train_step 162	train_loss 0.9418	CE_Loss 0.9418
train_step 163	train_loss 0.8551	CE_Loss 0.8551
train_step 164	train_loss 1.9698	CE_Loss 1.9698
train_step 165	train_loss 0.7956	CE_Loss 0.7956
train_step 166	train_loss 1.7969	CE_Loss 1.7969
train_step 167	train_loss 0.8027	CE_Loss 0.8027
train_step 168	train_loss 1.0075	CE_Loss 1.0075
train_step 169	train_loss 1.7916	CE_Loss 1.7916
train_step 170	train_loss 0.7889	CE_Loss 0.7889
train_step 171	train_loss 0.9046	CE_Loss 0.9046
train_step 172	train_loss 0.9144	CE_Loss 0.9144
train_step 173	train_loss 1.9478	CE_Loss 1.9478
train_step 174	train_loss 0.8592	CE_Loss 0.8592
train_step 175	train_loss 0.8592	CE_Loss 0.8592
train_step 176	train_loss 0.8946	CE_Loss 0.8946
train_step 177	train_loss 0.8527	CE_Loss 0.8527
train_step 178	train_loss 0.8573	CE_Loss 0.8573
train_step 179	train_loss 0.7973	CE_Loss 0.7973
train_step 180	train_loss 0.7710	CE_Loss 0.7710
train_step 181	train_loss 0.8311	CE_Loss 0.8311
train_step 182	train_loss 0.8213	CE_Loss 0.8213
train_step 183	train_loss 0.8946	CE_Loss 0.8946
train_step 184	train_loss 1.8901	CE_Loss 1.8901
train_step 185	train_loss 0.7828	CE_Loss 0.7828
train_step 186	train_loss 0.8636	CE_Loss 0.8636
train_step 187	train_loss 0.9593	CE_Loss 0.9593
train_step 188	train_loss 0.8890	CE_Loss 0.8890
train_step 189	train_loss 0.8036	CE_Loss 0.8036
train_step 190	train_loss 0.8004	CE_Loss 0.8004
train_step 191	train_loss 0.7558	CE_Loss 0.7558
train_step 192	train_loss 0.9126	CE_Loss 0.9126
train_step 193	train_loss 0.9546	CE_Loss 0.9546
train_step 194	train_loss 0.7701	CE_Loss 0.7701
train_step 195	train_loss 0.8553	CE_Loss 0.8553
train_step 196	train_loss 0.7770	CE_Loss 0.7770
train_step 197	train_loss 0.7949	CE_Loss 0.7949
train_step 198	train_loss 0.8905	CE_Loss 0.8905
train_step 199	train_loss 0.8628	CE_Loss 0.8628
train_step 200	train_loss 0.7757	CE_Loss 0.7757
train_step 201	train_loss 0.8862	CE_Loss 0.8862
train_step 202	train_loss 0.9459	CE_Loss 0.9459
train_step 203	train_loss 0.8371	CE_Loss 0.8371
train_step 204	train_loss 0.8506	CE_Loss 0.8506
train_step 205	train_loss 0.8383	CE_Loss 0.8383
train_step 206	train_loss 0.8040	CE_Loss 0.8040
train_step 207	train_loss 0.7099	CE_Loss 0.7099
train_step 208	train_loss 1.8756	CE_Loss 1.8756
train_step 209	train_loss 0.7020	CE_Loss 0.7020
train_step 210	train_loss 0.8323	CE_Loss 0.8323
train_step 211	train_loss 0.7785	CE_Loss 0.7785
train_step 212	train_loss 0.9499	CE_Loss 0.9499
train_step 213	train_loss 0.6660	CE_Loss 0.6660
train_step 214	train_loss 2.2575	CE_Loss 2.2575
train_step 215	train_loss 0.9300	CE_Loss 0.9300
train_step 216	train_loss 0.8862	CE_Loss 0.8862
train_step 217	train_loss 0.7997	CE_Loss 0.7997
train_step 218	train_loss 0.6405	CE_Loss 0.6405
train_step 219	train_loss 1.0264	CE_Loss 1.0264
train_step 220	train_loss 2.0848	CE_Loss 2.0848
train_step 221	train_loss 0.7948	CE_Loss 0.7948
train_step 222	train_loss 0.8700	CE_Loss 0.8700
train_step 223	train_loss 0.6856	CE_Loss 0.6856
train_step 224	train_loss 1.0522	CE_Loss 1.0522
train_step 225	train_loss 0.8157	CE_Loss 0.8157
train_step 226	train_loss 0.8743	CE_Loss 0.8743
train_step 227	train_loss 1.0622	CE_Loss 1.0622
train_step 228	train_loss 0.6140	CE_Loss 0.6140
train_step 229	train_loss 0.8345	CE_Loss 0.8345
train_step 230	train_loss 2.2577	CE_Loss 2.2577
train_step 231	train_loss 2.0551	CE_Loss 2.0551
train_step 232	train_loss 0.8042	CE_Loss 0.8042
train_step 233	train_loss 0.7915	CE_Loss 0.7915
train_step 234	train_loss 2.1002	CE_Loss 2.1002
train_step 235	train_loss 1.0068	CE_Loss 1.0068
train_step 236	train_loss 0.9997	CE_Loss 0.9997
train_step 237	train_loss 0.8158	CE_Loss 0.8158
train_step 238	train_loss 0.5000	CE_Loss 0.5000
train_step 239	train_loss 0.7374	CE_Loss 0.7374
train_step 240	train_loss 0.7170	CE_Loss 0.7170
train_step 241	train_loss 0.6887	CE_Loss 0.6887
train_step 242	train_loss 1.8549	CE_Loss 1.8549
train_step 243	train_loss 1.0374	CE_Loss 1.0374
train_step 244	train_loss 0.8328	CE_Loss 0.8328
train_step 245	train_loss 1.9368	CE_Loss 1.9368
train_step 246	train_loss 0.9509	CE_Loss 0.9509
train_step 247	train_loss 0.6591	CE_Loss 0.6591
train_step 248	train_loss 2.0200	CE_Loss 2.0200
train_step 249	train_loss 0.7762	CE_Loss 0.7762
train_step 250	train_loss 1.0806	CE_Loss 1.0806
train_step 251	train_loss 1.0319	CE_Loss 1.0319
train_step 252	train_loss 0.8968	CE_Loss 0.8968
train_step 253	train_loss 0.6807	CE_Loss 0.6807
train_step 254	train_loss 1.9358	CE_Loss 1.9358
train_step 255	train_loss 1.0946	CE_Loss 1.0946
train_step 256	train_loss 0.7645	CE_Loss 0.7645
train_step 257	train_loss 0.8285	CE_Loss 0.8285
train_step 258	train_loss 0.7784	CE_Loss 0.7784
train_step 259	train_loss 1.0163	CE_Loss 1.0163
train_step 260	train_loss 0.8775	CE_Loss 0.8775
train_step 261	train_loss 0.9160	CE_Loss 0.9160
train_step 262	train_loss 0.7094	CE_Loss 0.7094
train_step 263	train_loss 1.0897	CE_Loss 1.0897
train_step 264	train_loss 0.9674	CE_Loss 0.9674
train_step 265	train_loss 1.0897	CE_Loss 1.0897
train_step 266	train_loss 0.7525	CE_Loss 0.7525
train_step 267	train_loss 2.2237	CE_Loss 2.2237
train_step 268	train_loss 0.7982	CE_Loss 0.7982
train_step 269	train_loss 0.9030	CE_Loss 0.9030
train_step 270	train_loss 0.8320	CE_Loss 0.8320
train_step 271	train_loss 1.9801	CE_Loss 1.9801
train_step 272	train_loss 0.7428	CE_Loss 0.7428
train_step 273	train_loss 0.6664	CE_Loss 0.6664
train_step 274	train_loss 2.0816	CE_Loss 2.0816
train_step 275	train_loss 2.0171	CE_Loss 2.0171
train_step 276	train_loss 1.0549	CE_Loss 1.0549
train_step 277	train_loss 2.1774	CE_Loss 2.1774
train_step 278	train_loss 0.7054	CE_Loss 0.7054
train_step 279	train_loss 1.0470	CE_Loss 1.0470
train_step 280	train_loss 0.8466	CE_Loss 0.8466
train_step 281	train_loss 0.6067	CE_Loss 0.6067
train_step 282	train_loss 0.8556	CE_Loss 0.8556
train_step 283	train_loss 0.8366	CE_Loss 0.8366
train_step 284	train_loss 1.8705	CE_Loss 1.8705
train_step 285	train_loss 1.0034	CE_Loss 1.0034
train_step 286	train_loss 1.8869	CE_Loss 1.8869
train_step 287	train_loss 1.9720	CE_Loss 1.9720
train_step 288	train_loss 1.9968	CE_Loss 1.9968
train_step 289	train_loss 0.9418	CE_Loss 0.9418
train_step 290	train_loss 0.7221	CE_Loss 0.7221
train_step 291	train_loss 0.9559	CE_Loss 0.9559
train_step 292	train_loss 0.9675	CE_Loss 0.9675
train_step 293	train_loss 0.8983	CE_Loss 0.8983
train_step 294	train_loss 0.8494	CE_Loss 0.8494
train_step 295	train_loss 0.8553	CE_Loss 0.8553
train_step 296	train_loss 0.6989	CE_Loss 0.6989
train_step 297	train_loss 0.8972	CE_Loss 0.8972
train_step 298	train_loss 0.8944	CE_Loss 0.8944
train_step 299	train_loss 1.9262	CE_Loss 1.9262
train_step 300	train_loss 1.9184	CE_Loss 1.9184
train_step 301	train_loss 0.8929	CE_Loss 0.8929
train_step 302	train_loss 0.8066	CE_Loss 0.8066
train_step 303	train_loss 0.8049	CE_Loss 0.8049
train_step 304	train_loss 0.9412	CE_Loss 0.9412
train_step 305	train_loss 0.8223	CE_Loss 0.8223
train_step 306	train_loss 1.0153	CE_Loss 1.0153
train_step 307	train_loss 1.1664	CE_Loss 1.1664
train_step 308	train_loss 1.9872	CE_Loss 1.9872
train_step 309	train_loss 0.7245	CE_Loss 0.7245
train_step 310	train_loss 1.0056	CE_Loss 1.0056
train_step 311	train_loss 1.8192	CE_Loss 1.8192
train_step 312	train_loss 0.8427	CE_Loss 0.8427
train_step 313	train_loss 0.7971	CE_Loss 0.7971
train_step 314	train_loss 0.8754	CE_Loss 0.8754
train_step 315	train_loss 0.8693	CE_Loss 0.8693
train_step 316	train_loss 0.7084	CE_Loss 0.7084
train_step 317	train_loss 0.7392	CE_Loss 0.7392
train_step 318	train_loss 1.7922	CE_Loss 1.7922
train_step 319	train_loss 1.0199	CE_Loss 1.0199
train_step 320	train_loss 1.0897	CE_Loss 1.0897
train_step 321	train_loss 0.9357	CE_Loss 0.9357
train_step 322	train_loss 0.8210	CE_Loss 0.8210
train_step 323	train_loss 0.6929	CE_Loss 0.6929
train_step 324	train_loss 0.9339	CE_Loss 0.9339
train_step 325	train_loss 0.7799	CE_Loss 0.7799
train_step 326	train_loss 0.8908	CE_Loss 0.8908
train_step 327	train_loss 0.6513	CE_Loss 0.6513
train_step 328	train_loss 0.9276	CE_Loss 0.9276
train_step 329	train_loss 0.8255	CE_Loss 0.8255
train_step 330	train_loss 0.9408	CE_Loss 0.9408
train_step 331	train_loss 2.0315	CE_Loss 2.0315
train_step 332	train_loss 0.6836	CE_Loss 0.6836
train_step 333	train_loss 0.8370	CE_Loss 0.8370
train_step 334	train_loss 0.8765	CE_Loss 0.8765
train_step 335	train_loss 1.9148	CE_Loss 1.9148
train_step 336	train_loss 0.7618	CE_Loss 0.7618
train_step 337	train_loss 1.9496	CE_Loss 1.9496
train_step 338	train_loss 0.8856	CE_Loss 0.8856
train_step 339	train_loss 0.8714	CE_Loss 0.8714
train_step 340	train_loss 0.9791	CE_Loss 0.9791
train_step 341	train_loss 2.1775	CE_Loss 2.1775
train_step 342	train_loss 1.0536	CE_Loss 1.0536
train_step 343	train_loss 0.9900	CE_Loss 0.9900
train_step 344	train_loss 0.8690	CE_Loss 0.8690
train_step 345	train_loss 0.7833	CE_Loss 0.7833
train_step 346	train_loss 0.7386	CE_Loss 0.7386
train_step 347	train_loss 0.6848	CE_Loss 0.6848
train_step 348	train_loss 0.9169	CE_Loss 0.9169
train_step 349	train_loss 0.6881	CE_Loss 0.6881
train_step 350	train_loss 1.0532	CE_Loss 1.0532
train_step 351	train_loss 0.9554	CE_Loss 0.9554
train_step 352	train_loss 0.8620	CE_Loss 0.8620
train_step 353	train_loss 0.8981	CE_Loss 0.8981
