train_step 1	train_loss 0.8517	MSE 0.8517
train_step 2	train_loss 3.9848	MSE 3.9848
train_step 3	train_loss 8.0179	MSE 8.0179
train_step 4	train_loss 1.0326	MSE 1.0326
train_step 5	train_loss 1.6619	MSE 1.6619
train_step 6	train_loss 1.3033	MSE 1.3033
train_step 7	train_loss 2.4923	MSE 2.4923
train_step 8	train_loss 0.4237	MSE 0.4237
train_step 9	train_loss 1.0237	MSE 1.0237
train_step 10	train_loss 1.6591	MSE 1.6591
train_step 11	train_loss 1.4049	MSE 1.4049
train_step 12	train_loss 1.1681	MSE 1.1681
train_step 13	train_loss 0.0610	MSE 0.0610
train_step 14	train_loss 2.7277	MSE 2.7277
train_step 15	train_loss 1.9090	MSE 1.9090
train_step 16	train_loss 1.2640	MSE 1.2640
train_step 17	train_loss 1.3205	MSE 1.3205
train_step 18	train_loss 1.5769	MSE 1.5769
train_step 19	train_loss 3.7425	MSE 3.7425
train_step 20	train_loss 1.3839	MSE 1.3839
train_step 21	train_loss 0.0411	MSE 0.0411
train_step 22	train_loss 0.5870	MSE 0.5870
train_step 23	train_loss 0.1976	MSE 0.1976
train_step 24	train_loss 2.6483	MSE 2.6483
train_step 25	train_loss 1.3749	MSE 1.3749
train_step 26	train_loss 6.4931	MSE 6.4931
train_step 27	train_loss 1.5044	MSE 1.5044
train_step 28	train_loss 18.7386	MSE 18.7386
train_step 29	train_loss 0.1245	MSE 0.1245
train_step 30	train_loss 1.3099	MSE 1.3099
train_step 31	train_loss 1.1165	MSE 1.1165
train_step 32	train_loss 1.0761	MSE 1.0761
train_step 33	train_loss 2.3563	MSE 2.3563
train_step 34	train_loss 1.3226	MSE 1.3226
train_step 35	train_loss 1.4517	MSE 1.4517
train_step 36	train_loss 0.7593	MSE 0.7593
train_step 37	train_loss 2.4655	MSE 2.4655
train_step 38	train_loss 1.3967	MSE 1.3967
train_step 39	train_loss 0.9849	MSE 0.9849
train_step 40	train_loss 0.3859	MSE 0.3859
train_step 41	train_loss 0.5636	MSE 0.5636
train_step 42	train_loss 0.3020	MSE 0.3020
train_step 43	train_loss 1.0857	MSE 1.0857
train_step 44	train_loss 4.9624	MSE 4.9624
train_step 45	train_loss 3.7443	MSE 3.7443
train_step 46	train_loss 1.7601	MSE 1.7601
train_step 47	train_loss 4.2161	MSE 4.2161
train_step 48	train_loss 0.1906	MSE 0.1906
train_step 49	train_loss 0.2031	MSE 0.2031
train_step 50	train_loss 1.0021	MSE 1.0021
