train_step 1	train_loss 2.4373	MSE 2.4373
train_step 2	train_loss 2.0865	MSE 2.0865
train_step 3	train_loss 1.9000	MSE 1.9000
train_step 4	train_loss 1.3649	MSE 1.3649
train_step 5	train_loss 3.9255	MSE 3.9255
train_step 6	train_loss 32.9770	MSE 32.9770
train_step 7	train_loss 12.6435	MSE 12.6435
train_step 8	train_loss 5.0079	MSE 5.0079
train_step 9	train_loss 0.6016	MSE 0.6016
train_step 10	train_loss 0.6338	MSE 0.6338
train_step 11	train_loss 5.9994	MSE 5.9994
train_step 12	train_loss 19.2662	MSE 19.2662
train_step 13	train_loss 0.3381	MSE 0.3381
train_step 14	train_loss 0.4859	MSE 0.4859
train_step 15	train_loss 9.5326	MSE 9.5326
train_step 16	train_loss 3.2536	MSE 3.2536
train_step 17	train_loss 8.3785	MSE 8.3785
train_step 18	train_loss 1.7033	MSE 1.7033
train_step 19	train_loss 3.7218	MSE 3.7218
train_step 20	train_loss 5.9956	MSE 5.9956
train_step 21	train_loss 7.2691	MSE 7.2691
train_step 22	train_loss 3.9710	MSE 3.9710
train_step 23	train_loss 4.0876	MSE 4.0876
train_step 24	train_loss 4.5049	MSE 4.5049
train_step 25	train_loss 1.4027	MSE 1.4027
train_step 26	train_loss 1.0258	MSE 1.0258
train_step 27	train_loss 14.1954	MSE 14.1954
train_step 28	train_loss 3.2168	MSE 3.2168
train_step 29	train_loss 4.0941	MSE 4.0941
train_step 30	train_loss 0.8188	MSE 0.8188
train_step 31	train_loss 0.4473	MSE 0.4473
train_step 32	train_loss 0.6097	MSE 0.6097
train_step 33	train_loss 2.6656	MSE 2.6656
train_step 34	train_loss 7.6001	MSE 7.6001
train_step 35	train_loss 0.0838	MSE 0.0838
train_step 36	train_loss 1.9505	MSE 1.9505
train_step 37	train_loss 6.3447	MSE 6.3447
train_step 38	train_loss 3.2747	MSE 3.2747
train_step 39	train_loss 1.9014	MSE 1.9014
train_step 40	train_loss 3.3884	MSE 3.3884
train_step 41	train_loss 2.2390	MSE 2.2390
train_step 42	train_loss 0.3114	MSE 0.3114
train_step 43	train_loss 3.4862	MSE 3.4862
train_step 44	train_loss 8.5003	MSE 8.5003
train_step 45	train_loss 3.5313	MSE 3.5313
train_step 46	train_loss 0.3538	MSE 0.3538
train_step 47	train_loss 2.2666	MSE 2.2666
train_step 48	train_loss 6.1013	MSE 6.1013
train_step 49	train_loss 1.9226	MSE 1.9226
train_step 50	train_loss 12.3192	MSE 12.3192
train_step 51	train_loss 2.6130	MSE 2.6130
train_step 52	train_loss 5.5792	MSE 5.5792
train_step 53	train_loss 33.0218	MSE 33.0218
train_step 54	train_loss 13.2674	MSE 13.2674
train_step 55	train_loss 0.3117	MSE 0.3117
train_step 56	train_loss 4.9662	MSE 4.9662
train_step 57	train_loss 4.7676	MSE 4.7676
train_step 58	train_loss 7.8698	MSE 7.8698
