train_step 1	train_loss 2.2126	MSE 2.2126
train_step 2	train_loss 0.9474	MSE 0.9474
train_step 3	train_loss 3.3802	MSE 3.3802
train_step 4	train_loss 0.3443	MSE 0.3443
train_step 5	train_loss 2.8047	MSE 2.8047
train_step 6	train_loss 1.7593	MSE 1.7593
train_step 7	train_loss 1.1387	MSE 1.1387
train_step 8	train_loss 0.6056	MSE 0.6056
train_step 9	train_loss 2.7207	MSE 2.7207
train_step 10	train_loss 2.6172	MSE 2.6172
train_step 11	train_loss 5.9076	MSE 5.9076
train_step 12	train_loss 0.6072	MSE 0.6072
train_step 13	train_loss 1.0275	MSE 1.0275
train_step 14	train_loss 0.0799	MSE 0.0799
train_step 15	train_loss 3.2818	MSE 3.2818
train_step 16	train_loss 4.2009	MSE 4.2009
train_step 17	train_loss 2.9654	MSE 2.9654
train_step 18	train_loss 0.4478	MSE 0.4478
train_step 19	train_loss 0.5697	MSE 0.5697
train_step 20	train_loss 0.9879	MSE 0.9879
train_step 21	train_loss 0.3564	MSE 0.3564
train_step 22	train_loss 9.0210	MSE 9.0210
train_step 23	train_loss 0.3696	MSE 0.3696
train_step 24	train_loss 1.1193	MSE 1.1193
train_step 25	train_loss 5.5483	MSE 5.5483
train_step 26	train_loss 2.0805	MSE 2.0805
train_step 27	train_loss 0.3791	MSE 0.3791
train_step 28	train_loss 0.0531	MSE 0.0531
train_step 29	train_loss 0.3955	MSE 0.3955
train_step 30	train_loss 0.4738	MSE 0.4738
train_step 31	train_loss 12.9235	MSE 12.9235
train_step 32	train_loss 0.3360	MSE 0.3360
train_step 33	train_loss 13.5366	MSE 13.5366
train_step 34	train_loss 2.6641	MSE 2.6641
train_step 35	train_loss 11.4703	MSE 11.4703
train_step 36	train_loss 0.3706	MSE 0.3706
train_step 37	train_loss 3.7314	MSE 3.7314
train_step 38	train_loss 2.0604	MSE 2.0604
train_step 39	train_loss 10.0415	MSE 10.0415
train_step 40	train_loss 121.2535	MSE 121.2535
train_step 41	train_loss 4.9403	MSE 4.9403
train_step 42	train_loss 9.2130	MSE 9.2130
train_step 43	train_loss 2.1962	MSE 2.1962
train_step 44	train_loss 0.9473	MSE 0.9473
train_step 45	train_loss 2.5860	MSE 2.5860
train_step 46	train_loss 3.3643	MSE 3.3643
train_step 47	train_loss 1.2130	MSE 1.2130
train_step 48	train_loss 19.9987	MSE 19.9987
train_step 49	train_loss 0.4916	MSE 0.4916
train_step 50	train_loss 1.1298	MSE 1.1298
train_step 51	train_loss 4.6389	MSE 4.6389
train_step 52	train_loss 1.8922	MSE 1.8922
train_step 53	train_loss 1.1408	MSE 1.1408
train_step 54	train_loss 7.3563	MSE 7.3563
train_step 55	train_loss 0.8398	MSE 0.8398
train_step 56	train_loss 0.3842	MSE 0.3842
train_step 57	train_loss 0.4159	MSE 0.4159
train_step 58	train_loss 3.9296	MSE 3.9296
train_step 59	train_loss 8.5586	MSE 8.5586
train_step 60	train_loss 0.1713	MSE 0.1713
train_step 61	train_loss 0.2558	MSE 0.2558
train_step 62	train_loss 0.1862	MSE 0.1862
train_step 63	train_loss 1.9387	MSE 1.9387
train_step 64	train_loss 2.6599	MSE 2.6599
train_step 65	train_loss 10.2142	MSE 10.2142
train_step 66	train_loss 4.0879	MSE 4.0879
train_step 67	train_loss 3.8113	MSE 3.8113
train_step 68	train_loss 1.7186	MSE 1.7186
train_step 69	train_loss 19.3270	MSE 19.3270
train_step 70	train_loss 1.0371	MSE 1.0371
train_step 71	train_loss 6.2930	MSE 6.2930
train_step 72	train_loss 14.8601	MSE 14.8601
train_step 73	train_loss 12.0965	MSE 12.0965
train_step 74	train_loss 8.1350	MSE 8.1350
train_step 75	train_loss 0.4891	MSE 0.4891
train_step 76	train_loss 3.2643	MSE 3.2643
train_step 77	train_loss 0.9006	MSE 0.9006
train_step 78	train_loss 6.0301	MSE 6.0301
train_step 79	train_loss 0.5147	MSE 0.5147
train_step 80	train_loss 2.1324	MSE 2.1324
train_step 81	train_loss 2.3314	MSE 2.3314
train_step 82	train_loss 1.8580	MSE 1.8580
train_step 83	train_loss 1.5038	MSE 1.5038
train_step 84	train_loss 2.5592	MSE 2.5592
train_step 85	train_loss 7.7167	MSE 7.7167
train_step 86	train_loss 19.9504	MSE 19.9504
train_step 87	train_loss 11.9101	MSE 11.9101
train_step 88	train_loss 20.6314	MSE 20.6314
train_step 89	train_loss 7.3453	MSE 7.3453
train_step 90	train_loss 0.8409	MSE 0.8409
train_step 91	train_loss 1.0014	MSE 1.0014
train_step 92	train_loss 1.2735	MSE 1.2735
train_step 93	train_loss 0.2156	MSE 0.2156
train_step 94	train_loss 15.3882	MSE 15.3882
train_step 95	train_loss 0.9780	MSE 0.9780
train_step 96	train_loss 2.4881	MSE 2.4881
train_step 97	train_loss 2.6832	MSE 2.6832
train_step 98	train_loss 14.9075	MSE 14.9075
train_step 99	train_loss 8.3077	MSE 8.3077
train_step 100	train_loss 1.9841	MSE 1.9841
train_step 101	train_loss 1.9941	MSE 1.9941
train_step 102	train_loss 0.8745	MSE 0.8745
train_step 103	train_loss 18.9315	MSE 18.9315
train_step 104	train_loss 14.0379	MSE 14.0379
train_step 105	train_loss 3.8612	MSE 3.8612
train_step 106	train_loss 0.7894	MSE 0.7894
train_step 107	train_loss 1.6687	MSE 1.6687
train_step 108	train_loss 4.8377	MSE 4.8377
train_step 109	train_loss 0.8199	MSE 0.8199
train_step 110	train_loss 9.9470	MSE 9.9470
train_step 111	train_loss 0.3162	MSE 0.3162
train_step 112	train_loss 14.6685	MSE 14.6685
train_step 113	train_loss 8.9421	MSE 8.9421
train_step 114	train_loss 2.7739	MSE 2.7739
train_step 115	train_loss 1.4806	MSE 1.4806
train_step 116	train_loss 0.5445	MSE 0.5445
train_step 117	train_loss 12.1873	MSE 12.1873
train_step 118	train_loss 4.0438	MSE 4.0438
train_step 119	train_loss 1.2239	MSE 1.2239
train_step 120	train_loss 1.2490	MSE 1.2490
train_step 121	train_loss 0.6328	MSE 0.6328
train_step 122	train_loss 2.9881	MSE 2.9881
train_step 123	train_loss 2.2926	MSE 2.2926
train_step 124	train_loss 0.6731	MSE 0.6731
train_step 125	train_loss 1.0349	MSE 1.0349
train_step 126	train_loss 0.9869	MSE 0.9869
train_step 127	train_loss 0.3579	MSE 0.3579
train_step 128	train_loss 15.7721	MSE 15.7721
train_step 129	train_loss 6.3948	MSE 6.3948
train_step 130	train_loss 0.5386	MSE 0.5386
train_step 131	train_loss 1.9090	MSE 1.9090
train_step 132	train_loss 12.6257	MSE 12.6257
train_step 133	train_loss 0.6901	MSE 0.6901
train_step 134	train_loss 2.5810	MSE 2.5810
train_step 135	train_loss 2.8088	MSE 2.8088
train_step 136	train_loss 19.7659	MSE 19.7659
train_step 137	train_loss 2.2602	MSE 2.2602
train_step 138	train_loss 0.2792	MSE 0.2792
train_step 139	train_loss 2.0977	MSE 2.0977
train_step 140	train_loss 0.3856	MSE 0.3856
train_step 141	train_loss 3.8574	MSE 3.8574
train_step 142	train_loss 1.2104	MSE 1.2104
train_step 143	train_loss 4.1162	MSE 4.1162
train_step 144	train_loss 1.5831	MSE 1.5831
train_step 145	train_loss 2.4618	MSE 2.4618
train_step 146	train_loss 1.2910	MSE 1.2910
train_step 147	train_loss 5.9278	MSE 5.9278
train_step 148	train_loss 3.1293	MSE 3.1293
train_step 149	train_loss 4.1556	MSE 4.1556
train_step 150	train_loss 1.0987	MSE 1.0987
train_step 151	train_loss 0.4423	MSE 0.4423
train_step 152	train_loss 2.8633	MSE 2.8633
train_step 153	train_loss 4.5867	MSE 4.5867
train_step 154	train_loss 3.8300	MSE 3.8300
train_step 155	train_loss 7.6307	MSE 7.6307
train_step 156	train_loss 2.8064	MSE 2.8064
train_step 157	train_loss 17.5131	MSE 17.5131
train_step 158	train_loss 0.3565	MSE 0.3565
train_step 159	train_loss 0.2659	MSE 0.2659
train_step 160	train_loss 6.8759	MSE 6.8759
train_step 161	train_loss 0.4462	MSE 0.4462
train_step 162	train_loss 11.3472	MSE 11.3472
train_step 163	train_loss 10.5730	MSE 10.5730
train_step 164	train_loss 6.1218	MSE 6.1218
train_step 165	train_loss 34.1572	MSE 34.1572
train_step 166	train_loss 1.2582	MSE 1.2582
train_step 167	train_loss 0.9281	MSE 0.9281
train_step 168	train_loss 0.3554	MSE 0.3554
train_step 169	train_loss 3.7553	MSE 3.7553
train_step 170	train_loss 0.3856	MSE 0.3856
train_step 171	train_loss 3.1329	MSE 3.1329
train_step 172	train_loss 1.5857	MSE 1.5857
train_step 173	train_loss 3.6182	MSE 3.6182
train_step 174	train_loss 4.5928	MSE 4.5928
train_step 175	train_loss 1.4835	MSE 1.4835
train_step 176	train_loss 15.4520	MSE 15.4520
train_step 177	train_loss 0.3547	MSE 0.3547
train_step 178	train_loss 4.0666	MSE 4.0666
train_step 179	train_loss 0.4261	MSE 0.4261
train_step 180	train_loss 1.6392	MSE 1.6392
train_step 181	train_loss 0.2222	MSE 0.2222
train_step 182	train_loss 1.9377	MSE 1.9377
train_step 183	train_loss 0.7678	MSE 0.7678
train_step 184	train_loss 2.7070	MSE 2.7070
train_step 185	train_loss 0.4292	MSE 0.4292
train_step 186	train_loss 1.8872	MSE 1.8872
train_step 187	train_loss 1.7207	MSE 1.7207
train_step 188	train_loss 1.3207	MSE 1.3207
train_step 189	train_loss 28.9898	MSE 28.9898
train_step 190	train_loss 2.4948	MSE 2.4948
train_step 191	train_loss 0.3597	MSE 0.3597
train_step 192	train_loss 0.7017	MSE 0.7017
train_step 193	train_loss 2.5419	MSE 2.5419
train_step 194	train_loss 6.6582	MSE 6.6582
train_step 195	train_loss 0.0661	MSE 0.0661
train_step 196	train_loss 9.5308	MSE 9.5308
train_step 197	train_loss 7.8935	MSE 7.8935
train_step 198	train_loss 4.7773	MSE 4.7773
train_step 199	train_loss 3.5474	MSE 3.5474
train_step 200	train_loss 13.8865	MSE 13.8865
train_step 201	train_loss 0.1183	MSE 0.1183
train_step 202	train_loss 1.6283	MSE 1.6283
train_step 203	train_loss 5.7442	MSE 5.7442
train_step 204	train_loss 3.4824	MSE 3.4824
train_step 205	train_loss 0.2910	MSE 0.2910
train_step 206	train_loss 10.4076	MSE 10.4076
train_step 207	train_loss 3.2906	MSE 3.2906
train_step 208	train_loss 0.0941	MSE 0.0941
train_step 209	train_loss 10.8885	MSE 10.8885
train_step 210	train_loss 8.6231	MSE 8.6231
train_step 211	train_loss 1.9415	MSE 1.9415
train_step 212	train_loss 0.1054	MSE 0.1054
train_step 213	train_loss 9.0806	MSE 9.0806
train_step 214	train_loss 19.3498	MSE 19.3498
train_step 215	train_loss 11.6368	MSE 11.6368
train_step 216	train_loss 7.1693	MSE 7.1693
train_step 217	train_loss 0.7598	MSE 0.7598
train_step 218	train_loss 2.4381	MSE 2.4381
train_step 219	train_loss 0.7936	MSE 0.7936
train_step 220	train_loss 0.2387	MSE 0.2387
train_step 221	train_loss 4.6768	MSE 4.6768
train_step 222	train_loss 1.2358	MSE 1.2358
train_step 223	train_loss 1.4726	MSE 1.4726
train_step 224	train_loss 7.1782	MSE 7.1782
train_step 225	train_loss 3.2271	MSE 3.2271
train_step 226	train_loss 1.5061	MSE 1.5061
train_step 227	train_loss 0.1526	MSE 0.1526
train_step 228	train_loss 0.6639	MSE 0.6639
train_step 229	train_loss 0.5341	MSE 0.5341
train_step 230	train_loss 13.1228	MSE 13.1228
train_step 231	train_loss 1.6799	MSE 1.6799
train_step 232	train_loss 6.0589	MSE 6.0589
train_step 233	train_loss 0.8566	MSE 0.8566
train_step 234	train_loss 8.7927	MSE 8.7927
train_step 235	train_loss 1.9254	MSE 1.9254
train_step 236	train_loss 2.8845	MSE 2.8845
train_step 237	train_loss 39.3058	MSE 39.3058
train_step 238	train_loss 12.0047	MSE 12.0047
train_step 239	train_loss 1.7967	MSE 1.7967
train_step 240	train_loss 3.3525	MSE 3.3525
train_step 241	train_loss 1.4703	MSE 1.4703
train_step 242	train_loss 25.4118	MSE 25.4118
train_step 243	train_loss 20.4044	MSE 20.4044
train_step 244	train_loss 4.8836	MSE 4.8836
train_step 245	train_loss 0.3563	MSE 0.3563
train_step 246	train_loss 12.4174	MSE 12.4174
train_step 247	train_loss 16.8389	MSE 16.8389
train_step 248	train_loss 0.2416	MSE 0.2416
train_step 249	train_loss 0.5768	MSE 0.5768
train_step 250	train_loss 0.4975	MSE 0.4975
train_step 251	train_loss 0.3615	MSE 0.3615
train_step 252	train_loss 15.1199	MSE 15.1199
train_step 253	train_loss 8.0154	MSE 8.0154
train_step 254	train_loss 3.7515	MSE 3.7515
train_step 255	train_loss 3.2950	MSE 3.2950
train_step 256	train_loss 0.4114	MSE 0.4114
train_step 257	train_loss 1.1213	MSE 1.1213
train_step 258	train_loss 1.8297	MSE 1.8297
train_step 259	train_loss 1.0638	MSE 1.0638
train_step 260	train_loss 1.2425	MSE 1.2425
train_step 261	train_loss 0.3971	MSE 0.3971
train_step 262	train_loss 0.3555	MSE 0.3555
train_step 263	train_loss 1.3915	MSE 1.3915
train_step 264	train_loss 1.4297	MSE 1.4297
train_step 265	train_loss 3.2354	MSE 3.2354
train_step 266	train_loss 1.3822	MSE 1.3822
train_step 267	train_loss 0.6536	MSE 0.6536
train_step 268	train_loss 0.0710	MSE 0.0710
train_step 269	train_loss 0.8345	MSE 0.8345
train_step 270	train_loss 11.5800	MSE 11.5800
train_step 271	train_loss 8.9363	MSE 8.9363
train_step 272	train_loss 25.3788	MSE 25.3788
train_step 273	train_loss 2.2293	MSE 2.2293
train_step 274	train_loss 6.0884	MSE 6.0884
train_step 275	train_loss 4.5572	MSE 4.5572
train_step 276	train_loss 0.0637	MSE 0.0637
train_step 277	train_loss 6.0518	MSE 6.0518
train_step 278	train_loss 0.5959	MSE 0.5959
train_step 279	train_loss 1.6089	MSE 1.6089
train_step 280	train_loss 0.1714	MSE 0.1714
train_step 281	train_loss 4.0464	MSE 4.0464
train_step 282	train_loss 10.8311	MSE 10.8311
train_step 283	train_loss 4.8125	MSE 4.8125
train_step 284	train_loss 20.4640	MSE 20.4640
train_step 285	train_loss 0.5725	MSE 0.5725
train_step 286	train_loss 0.8761	MSE 0.8761
train_step 287	train_loss 0.3048	MSE 0.3048
train_step 288	train_loss 3.2159	MSE 3.2159
train_step 289	train_loss 0.0446	MSE 0.0446
train_step 290	train_loss 3.3691	MSE 3.3691
train_step 291	train_loss 0.5817	MSE 0.5817
train_step 292	train_loss 0.3494	MSE 0.3494
train_step 293	train_loss 13.4209	MSE 13.4209
train_step 294	train_loss 1.4230	MSE 1.4230
train_step 295	train_loss 4.1134	MSE 4.1134
train_step 296	train_loss 1.5679	MSE 1.5679
train_step 297	train_loss 0.4493	MSE 0.4493
train_step 298	train_loss 0.1632	MSE 0.1632
train_step 299	train_loss 4.0883	MSE 4.0883
train_step 300	train_loss 6.1557	MSE 6.1557
train_step 301	train_loss 0.6505	MSE 0.6505
train_step 302	train_loss 2.9485	MSE 2.9485
train_step 303	train_loss 62.6508	MSE 62.6508
train_step 304	train_loss 1.1609	MSE 1.1609
train_step 305	train_loss 2.9562	MSE 2.9562
train_step 306	train_loss 3.6713	MSE 3.6713
train_step 307	train_loss 2.9809	MSE 2.9809
train_step 308	train_loss 2.4408	MSE 2.4408
train_step 309	train_loss 8.7880	MSE 8.7880
train_step 310	train_loss 83.7665	MSE 83.7665
train_step 311	train_loss 0.0642	MSE 0.0642
train_step 312	train_loss 29.6452	MSE 29.6452
train_step 313	train_loss 9.6487	MSE 9.6487
train_step 314	train_loss 1.2735	MSE 1.2735
train_step 315	train_loss 0.2818	MSE 0.2818
train_step 316	train_loss 1.3988	MSE 1.3988
train_step 317	train_loss 2.8586	MSE 2.8586
train_step 318	train_loss 9.9293	MSE 9.9293
train_step 319	train_loss 4.8395	MSE 4.8395
train_step 320	train_loss 1.3829	MSE 1.3829
train_step 321	train_loss 9.3510	MSE 9.3510
train_step 322	train_loss 0.3382	MSE 0.3382
train_step 323	train_loss 0.9212	MSE 0.9212
train_step 324	train_loss 1.6386	MSE 1.6386
train_step 325	train_loss 0.3780	MSE 0.3780
train_step 326	train_loss 0.9018	MSE 0.9018
train_step 327	train_loss 18.2615	MSE 18.2615
train_step 328	train_loss 0.8217	MSE 0.8217
train_step 329	train_loss 3.7421	MSE 3.7421
train_step 330	train_loss 9.1610	MSE 9.1610
train_step 331	train_loss 1.6454	MSE 1.6454
train_step 332	train_loss 3.7322	MSE 3.7322
train_step 333	train_loss 4.1999	MSE 4.1999
train_step 334	train_loss 0.4625	MSE 0.4625
