train_step 1	train_loss 8.6228	MSE 8.6228
train_step 2	train_loss 6.6380	MSE 6.6380
train_step 3	train_loss 6.8942	MSE 6.8942
train_step 4	train_loss 1.6333	MSE 1.6333
train_step 5	train_loss 19.8070	MSE 19.8070
train_step 6	train_loss 1.2896	MSE 1.2896
train_step 7	train_loss 3.1396	MSE 3.1396
train_step 8	train_loss 4.0403	MSE 4.0403
train_step 9	train_loss 2.4804	MSE 2.4804
train_step 10	train_loss 11.5231	MSE 11.5231
train_step 11	train_loss 7.8618	MSE 7.8618
train_step 12	train_loss 2.4181	MSE 2.4181
train_step 13	train_loss 2.7427	MSE 2.7427
train_step 14	train_loss 0.5876	MSE 0.5876
train_step 15	train_loss 11.9038	MSE 11.9038
train_step 16	train_loss 0.6046	MSE 0.6046
train_step 17	train_loss 3.1600	MSE 3.1600
train_step 18	train_loss 0.9444	MSE 0.9444
train_step 19	train_loss 2.0732	MSE 2.0732
train_step 20	train_loss 1.0249	MSE 1.0249
train_step 21	train_loss 3.9277	MSE 3.9277
train_step 22	train_loss 6.1501	MSE 6.1501
train_step 23	train_loss 5.8054	MSE 5.8054
train_step 24	train_loss 6.9036	MSE 6.9036
train_step 25	train_loss 0.8425	MSE 0.8425
train_step 26	train_loss 1.8833	MSE 1.8833
train_step 27	train_loss 4.9977	MSE 4.9977
train_step 28	train_loss 1.9148	MSE 1.9148
train_step 29	train_loss 7.6168	MSE 7.6168
train_step 30	train_loss 1.4927	MSE 1.4927
train_step 31	train_loss 0.8325	MSE 0.8325
train_step 32	train_loss 3.4670	MSE 3.4670
train_step 33	train_loss 3.1913	MSE 3.1913
train_step 34	train_loss 5.7305	MSE 5.7305
train_step 35	train_loss 0.5649	MSE 0.5649
train_step 36	train_loss 0.3762	MSE 0.3762
train_step 37	train_loss 0.6796	MSE 0.6796
train_step 38	train_loss 3.8162	MSE 3.8162
train_step 39	train_loss 0.7449	MSE 0.7449
train_step 40	train_loss 0.9466	MSE 0.9466
train_step 41	train_loss 0.4528	MSE 0.4528
train_step 42	train_loss 6.3784	MSE 6.3784
train_step 43	train_loss 0.8090	MSE 0.8090
train_step 44	train_loss 7.0295	MSE 7.0295
train_step 45	train_loss 2.6804	MSE 2.6804
train_step 46	train_loss 3.6787	MSE 3.6787
train_step 47	train_loss 12.0020	MSE 12.0020
train_step 48	train_loss 0.5384	MSE 0.5384
train_step 49	train_loss 3.7379	MSE 3.7379
train_step 50	train_loss 6.6393	MSE 6.6393
train_step 51	train_loss 1.1512	MSE 1.1512
train_step 52	train_loss 0.4112	MSE 0.4112
train_step 53	train_loss 23.8364	MSE 23.8364
train_step 54	train_loss 1.1019	MSE 1.1019
train_step 55	train_loss 15.2527	MSE 15.2527
train_step 56	train_loss 1.4392	MSE 1.4392
train_step 57	train_loss 6.1316	MSE 6.1316
train_step 58	train_loss 7.6056	MSE 7.6056
train_step 59	train_loss 1.0589	MSE 1.0589
train_step 60	train_loss 1.2367	MSE 1.2367
train_step 61	train_loss 0.7252	MSE 0.7252
train_step 62	train_loss 2.1346	MSE 2.1346
train_step 63	train_loss 1.4808	MSE 1.4808
train_step 64	train_loss 1.8196	MSE 1.8196
train_step 65	train_loss 1.3022	MSE 1.3022
train_step 66	train_loss 8.3020	MSE 8.3020
train_step 67	train_loss 4.0054	MSE 4.0054
train_step 68	train_loss 1.9513	MSE 1.9513
train_step 69	train_loss 3.4850	MSE 3.4850
train_step 70	train_loss 2.6121	MSE 2.6121
train_step 71	train_loss 3.5848	MSE 3.5848
train_step 72	train_loss 1.3711	MSE 1.3711
train_step 73	train_loss 7.6307	MSE 7.6307
train_step 74	train_loss 0.2578	MSE 0.2578
train_step 75	train_loss 0.4646	MSE 0.4646
train_step 76	train_loss 0.7112	MSE 0.7112
train_step 77	train_loss 4.0409	MSE 4.0409
train_step 78	train_loss 8.3660	MSE 8.3660
train_step 79	train_loss 1.1535	MSE 1.1535
train_step 80	train_loss 10.0881	MSE 10.0881
train_step 81	train_loss 0.3849	MSE 0.3849
train_step 82	train_loss 0.5645	MSE 0.5645
train_step 83	train_loss 1.4460	MSE 1.4460
train_step 84	train_loss 0.5985	MSE 0.5985
train_step 85	train_loss 56.0941	MSE 56.0941
train_step 86	train_loss 1.4009	MSE 1.4009
train_step 87	train_loss 1.3995	MSE 1.3995
train_step 88	train_loss 0.2720	MSE 0.2720
train_step 89	train_loss 8.0757	MSE 8.0757
train_step 90	train_loss 0.5338	MSE 0.5338
train_step 91	train_loss 0.3871	MSE 0.3871
