train_step 1	train_loss 1.8741	MSE 1.8741
train_step 2	train_loss 414.2204	MSE 414.2204
train_step 3	train_loss 5.0737	MSE 5.0737
train_step 4	train_loss 4.0224	MSE 4.0224
train_step 5	train_loss 3.0623	MSE 3.0623
train_step 6	train_loss 5.5531	MSE 5.5531
train_step 7	train_loss 7.5542	MSE 7.5542
train_step 8	train_loss 0.7281	MSE 0.7281
train_step 9	train_loss 6.1133	MSE 6.1133
train_step 10	train_loss 4.5346	MSE 4.5346
train_step 11	train_loss 0.6653	MSE 0.6653
train_step 12	train_loss 76.3431	MSE 76.3431
train_step 13	train_loss 0.6446	MSE 0.6446
train_step 14	train_loss 3.8574	MSE 3.8574
train_step 15	train_loss 16.3756	MSE 16.3756
train_step 16	train_loss 0.5068	MSE 0.5068
train_step 17	train_loss 24.2740	MSE 24.2740
train_step 18	train_loss 13.0805	MSE 13.0805
train_step 19	train_loss 0.8810	MSE 0.8810
train_step 20	train_loss 2.7551	MSE 2.7551
train_step 21	train_loss 4.6398	MSE 4.6398
train_step 22	train_loss 5.2040	MSE 5.2040
train_step 23	train_loss 3.7081	MSE 3.7081
train_step 24	train_loss 6.2772	MSE 6.2772
train_step 25	train_loss 0.3173	MSE 0.3173
train_step 26	train_loss 5.6473	MSE 5.6473
train_step 27	train_loss 5.2442	MSE 5.2442
train_step 28	train_loss 63.0840	MSE 63.0840
train_step 29	train_loss 5.5310	MSE 5.5310
train_step 30	train_loss 3.8395	MSE 3.8395
train_step 31	train_loss 0.6034	MSE 0.6034
train_step 32	train_loss 14.0246	MSE 14.0246
train_step 33	train_loss 2.9609	MSE 2.9609
train_step 34	train_loss 3.1296	MSE 3.1296
train_step 35	train_loss 3.8925	MSE 3.8925
train_step 36	train_loss 11.7790	MSE 11.7790
train_step 37	train_loss 2.0085	MSE 2.0085
train_step 38	train_loss 11.9673	MSE 11.9673
train_step 39	train_loss 1.5006	MSE 1.5006
train_step 40	train_loss 3.2351	MSE 3.2351
train_step 41	train_loss 225.3928	MSE 225.3928
train_step 42	train_loss 11.3882	MSE 11.3882
train_step 43	train_loss 6.8579	MSE 6.8579
train_step 44	train_loss 0.2623	MSE 0.2623
train_step 45	train_loss 0.3656	MSE 0.3656
train_step 46	train_loss 2.4546	MSE 2.4546
train_step 47	train_loss 0.8359	MSE 0.8359
train_step 48	train_loss 2.6360	MSE 2.6360
train_step 49	train_loss 0.6019	MSE 0.6019
train_step 50	train_loss 10.1454	MSE 10.1454
train_step 51	train_loss 1.8226	MSE 1.8226
train_step 52	train_loss 0.5295	MSE 0.5295
train_step 53	train_loss 4.6537	MSE 4.6537
train_step 54	train_loss 10.7097	MSE 10.7097
train_step 55	train_loss 7.3455	MSE 7.3455
train_step 56	train_loss 1.1512	MSE 1.1512
train_step 57	train_loss 4.1770	MSE 4.1770
train_step 58	train_loss 2.5493	MSE 2.5493
train_step 59	train_loss 2.7847	MSE 2.7847
train_step 60	train_loss 1.9654	MSE 1.9654
train_step 61	train_loss 40.4736	MSE 40.4736
train_step 62	train_loss 2.2018	MSE 2.2018
train_step 63	train_loss 7.8352	MSE 7.8352
train_step 64	train_loss 1.0545	MSE 1.0545
train_step 65	train_loss 0.2058	MSE 0.2058
train_step 66	train_loss 1.9387	MSE 1.9387
train_step 67	train_loss 8.3201	MSE 8.3201
