train_step 1	train_loss 1.3843	MSE 1.3843
train_step 2	train_loss 1.1025	MSE 1.1025
train_step 3	train_loss 2.2190	MSE 2.2190
train_step 4	train_loss 2.4028	MSE 2.4028
train_step 5	train_loss 1.0078	MSE 1.0078
train_step 6	train_loss 1.0796	MSE 1.0796
train_step 7	train_loss 1.1432	MSE 1.1432
train_step 8	train_loss 2.1074	MSE 2.1074
train_step 9	train_loss 2.6986	MSE 2.6986
train_step 10	train_loss 1.0806	MSE 1.0806
train_step 11	train_loss 1.1712	MSE 1.1712
train_step 12	train_loss 1.9773	MSE 1.9773
train_step 13	train_loss 1.4441	MSE 1.4441
train_step 14	train_loss 1.4600	MSE 1.4600
train_step 15	train_loss 2.3174	MSE 2.3174
train_step 16	train_loss 5.4392	MSE 5.4392
train_step 17	train_loss 2.0181	MSE 2.0181
train_step 18	train_loss 2.3183	MSE 2.3183
train_step 19	train_loss 2.2910	MSE 2.2910
train_step 20	train_loss 0.8016	MSE 0.8016
train_step 21	train_loss 0.8870	MSE 0.8870
train_step 22	train_loss 1.3394	MSE 1.3394
train_step 23	train_loss 1.1531	MSE 1.1531
train_step 24	train_loss 1.1471	MSE 1.1471
train_step 25	train_loss 0.7899	MSE 0.7899
train_step 26	train_loss 1.4459	MSE 1.4459
train_step 27	train_loss 1.4020	MSE 1.4020
train_step 28	train_loss 2.0955	MSE 2.0955
train_step 29	train_loss 1.2230	MSE 1.2230
train_step 30	train_loss 1.6010	MSE 1.6010
train_step 31	train_loss 1.3020	MSE 1.3020
train_step 32	train_loss 0.9504	MSE 0.9504
train_step 33	train_loss 2.4983	MSE 2.4983
train_step 34	train_loss 1.3885	MSE 1.3885
train_step 35	train_loss 2.4803	MSE 2.4803
train_step 36	train_loss 1.4598	MSE 1.4598
train_step 37	train_loss 3.4599	MSE 3.4599
train_step 38	train_loss 1.0574	MSE 1.0574
train_step 39	train_loss 1.6086	MSE 1.6086
train_step 40	train_loss 1.5837	MSE 1.5837
train_step 41	train_loss 1.9419	MSE 1.9419
train_step 42	train_loss 0.9697	MSE 0.9697
train_step 43	train_loss 4.5967	MSE 4.5967
train_step 44	train_loss 0.9248	MSE 0.9248
train_step 45	train_loss 1.1304	MSE 1.1304
train_step 46	train_loss 1.3526	MSE 1.3526
train_step 47	train_loss 0.8764	MSE 0.8764
train_step 48	train_loss 3.0826	MSE 3.0826
train_step 49	train_loss 1.4143	MSE 1.4143
train_step 50	train_loss 3.8500	MSE 3.8500
train_step 51	train_loss 3.7560	MSE 3.7560
train_step 52	train_loss 1.2846	MSE 1.2846
train_step 53	train_loss 1.6819	MSE 1.6819
train_step 54	train_loss 1.7256	MSE 1.7256
train_step 55	train_loss 0.4134	MSE 0.4134
train_step 56	train_loss 1.8376	MSE 1.8376
train_step 57	train_loss 1.0288	MSE 1.0288
train_step 58	train_loss 1.5539	MSE 1.5539
train_step 59	train_loss 1.0981	MSE 1.0981
train_step 60	train_loss 1.4366	MSE 1.4366
train_step 61	train_loss 1.7367	MSE 1.7367
train_step 62	train_loss 1.6948	MSE 1.6948
train_step 63	train_loss 1.6080	MSE 1.6080
train_step 64	train_loss 1.8336	MSE 1.8336
train_step 65	train_loss 1.6661	MSE 1.6661
train_step 66	train_loss 1.1325	MSE 1.1325
train_step 67	train_loss 2.2303	MSE 2.2303
train_step 68	train_loss 1.4603	MSE 1.4603
train_step 69	train_loss 13.9019	MSE 13.9019
train_step 70	train_loss 1.1402	MSE 1.1402
train_step 71	train_loss 1.2490	MSE 1.2490
train_step 72	train_loss 1.2123	MSE 1.2123
train_step 73	train_loss 1.6932	MSE 1.6932
train_step 74	train_loss 2.6430	MSE 2.6430
train_step 75	train_loss 0.8994	MSE 0.8994
train_step 76	train_loss 6.2253	MSE 6.2253
train_step 77	train_loss 2.1207	MSE 2.1207
train_step 78	train_loss 2.6468	MSE 2.6468
train_step 79	train_loss 1.2089	MSE 1.2089
train_step 80	train_loss 3.8240	MSE 3.8240
train_step 81	train_loss 1.2813	MSE 1.2813
train_step 82	train_loss 8.6051	MSE 8.6051
train_step 83	train_loss 1.1137	MSE 1.1137
train_step 84	train_loss 2.5584	MSE 2.5584
train_step 85	train_loss 1.0945	MSE 1.0945
train_step 86	train_loss 1.9429	MSE 1.9429
train_step 87	train_loss 0.7753	MSE 0.7753
train_step 88	train_loss 1.1068	MSE 1.1068
train_step 89	train_loss 0.6833	MSE 0.6833
train_step 90	train_loss 1.2127	MSE 1.2127
