train_step 1	train_loss 0.6824	MSE 0.6824
train_step 2	train_loss 0.8275	MSE 0.8275
train_step 3	train_loss 2.7888	MSE 2.7888
train_step 4	train_loss 5.8595	MSE 5.8595
train_step 5	train_loss 2.1099	MSE 2.1099
train_step 6	train_loss 2.6736	MSE 2.6736
train_step 7	train_loss 0.3489	MSE 0.3489
train_step 8	train_loss 2.0311	MSE 2.0311
train_step 9	train_loss 1.9839	MSE 1.9839
train_step 10	train_loss 0.8017	MSE 0.8017
train_step 11	train_loss 2.2570	MSE 2.2570
train_step 12	train_loss 1.6942	MSE 1.6942
train_step 13	train_loss 2.6307	MSE 2.6307
train_step 14	train_loss 2.9438	MSE 2.9438
train_step 15	train_loss 2.5780	MSE 2.5780
train_step 16	train_loss 0.2589	MSE 0.2589
train_step 17	train_loss 14.8049	MSE 14.8049
train_step 18	train_loss 1.7245	MSE 1.7245
train_step 19	train_loss 3.8026	MSE 3.8026
train_step 20	train_loss 1.1780	MSE 1.1780
train_step 21	train_loss 1.8049	MSE 1.8049
train_step 22	train_loss 0.0776	MSE 0.0776
train_step 23	train_loss 4.3748	MSE 4.3748
train_step 24	train_loss 1.1166	MSE 1.1166
train_step 25	train_loss 1.7246	MSE 1.7246
train_step 26	train_loss 0.3057	MSE 0.3057
train_step 27	train_loss 1.7250	MSE 1.7250
train_step 28	train_loss 2.3721	MSE 2.3721
train_step 29	train_loss 1.7576	MSE 1.7576
train_step 30	train_loss 0.1740	MSE 0.1740
train_step 31	train_loss 8.4292	MSE 8.4292
train_step 32	train_loss 1.0088	MSE 1.0088
train_step 33	train_loss 0.7351	MSE 0.7351
train_step 34	train_loss 3.4911	MSE 3.4911
train_step 35	train_loss 0.1316	MSE 0.1316
train_step 36	train_loss 11.9944	MSE 11.9944
train_step 37	train_loss 0.7928	MSE 0.7928
train_step 38	train_loss 1.0488	MSE 1.0488
train_step 39	train_loss 0.0778	MSE 0.0778
train_step 40	train_loss 1.7648	MSE 1.7648
train_step 41	train_loss 0.9089	MSE 0.9089
train_step 42	train_loss 1.5559	MSE 1.5559
train_step 43	train_loss 1.9107	MSE 1.9107
train_step 44	train_loss 0.3586	MSE 0.3586
train_step 45	train_loss 9.0205	MSE 9.0205
train_step 46	train_loss 1.1823	MSE 1.1823
train_step 47	train_loss 0.8049	MSE 0.8049
train_step 48	train_loss 1.3371	MSE 1.3371
train_step 49	train_loss 0.5082	MSE 0.5082
train_step 50	train_loss 0.3435	MSE 0.3435
train_step 51	train_loss 1.6741	MSE 1.6741
train_step 52	train_loss 46.0796	MSE 46.0796
train_step 53	train_loss 0.2268	MSE 0.2268
train_step 54	train_loss 2.6916	MSE 2.6916
train_step 55	train_loss 1.4345	MSE 1.4345
train_step 56	train_loss 0.4273	MSE 0.4273
train_step 57	train_loss 0.1664	MSE 0.1664
train_step 58	train_loss 1.5273	MSE 1.5273
train_step 59	train_loss 1.8555	MSE 1.8555
train_step 60	train_loss 0.4589	MSE 0.4589
train_step 61	train_loss 4.8142	MSE 4.8142
train_step 62	train_loss 0.0243	MSE 0.0243
train_step 63	train_loss 1.3726	MSE 1.3726
train_step 64	train_loss 0.6939	MSE 0.6939
train_step 65	train_loss 1.3049	MSE 1.3049
train_step 66	train_loss 3.3749	MSE 3.3749
train_step 67	train_loss 0.6604	MSE 0.6604
train_step 68	train_loss 18.8381	MSE 18.8381
train_step 69	train_loss 0.3835	MSE 0.3835
train_step 70	train_loss 0.4252	MSE 0.4252
train_step 71	train_loss 2.4981	MSE 2.4981
train_step 72	train_loss 5.1027	MSE 5.1027
train_step 73	train_loss 0.9134	MSE 0.9134
