train_step 1	train_loss 7.4729	MSE 7.4729
train_step 2	train_loss 0.7815	MSE 0.7815
train_step 3	train_loss 2.7256	MSE 2.7256
train_step 4	train_loss 2.7200	MSE 2.7200
train_step 5	train_loss 3.2822	MSE 3.2822
train_step 6	train_loss 0.7181	MSE 0.7181
train_step 7	train_loss 3.1110	MSE 3.1110
train_step 8	train_loss 1.2414	MSE 1.2414
train_step 9	train_loss 2.5357	MSE 2.5357
train_step 10	train_loss 0.1170	MSE 0.1170
train_step 11	train_loss 1.6565	MSE 1.6565
train_step 12	train_loss 1.2814	MSE 1.2814
train_step 13	train_loss 2.5956	MSE 2.5956
train_step 14	train_loss 0.1162	MSE 0.1162
train_step 15	train_loss 1.7622	MSE 1.7622
train_step 16	train_loss 1.6979	MSE 1.6979
train_step 17	train_loss 4.0357	MSE 4.0357
train_step 18	train_loss 2.2929	MSE 2.2929
train_step 19	train_loss 11.8997	MSE 11.8997
train_step 20	train_loss 0.0347	MSE 0.0347
train_step 21	train_loss 0.1155	MSE 0.1155
train_step 22	train_loss 3.8954	MSE 3.8954
train_step 23	train_loss 2.6589	MSE 2.6589
train_step 24	train_loss 3.2137	MSE 3.2137
train_step 25	train_loss 3.4347	MSE 3.4347
train_step 26	train_loss 0.2689	MSE 0.2689
train_step 27	train_loss 5.7102	MSE 5.7102
train_step 28	train_loss 1.3862	MSE 1.3862
train_step 29	train_loss 0.3571	MSE 0.3571
train_step 30	train_loss 0.0867	MSE 0.0867
train_step 31	train_loss 34.2162	MSE 34.2162
train_step 32	train_loss 3.3408	MSE 3.3408
train_step 33	train_loss 43.9614	MSE 43.9614
train_step 34	train_loss 0.2940	MSE 0.2940
train_step 35	train_loss 0.7139	MSE 0.7139
train_step 36	train_loss 2.2393	MSE 2.2393
train_step 37	train_loss 1.9027	MSE 1.9027
train_step 38	train_loss 0.5035	MSE 0.5035
train_step 39	train_loss 1.8060	MSE 1.8060
train_step 40	train_loss 0.3674	MSE 0.3674
train_step 41	train_loss 2.4658	MSE 2.4658
train_step 42	train_loss 0.3327	MSE 0.3327
train_step 43	train_loss 1.5494	MSE 1.5494
train_step 44	train_loss 1.2140	MSE 1.2140
train_step 45	train_loss 1.1734	MSE 1.1734
train_step 46	train_loss 0.3556	MSE 0.3556
train_step 47	train_loss 1.3981	MSE 1.3981
train_step 48	train_loss 1.1592	MSE 1.1592
train_step 49	train_loss 0.5679	MSE 0.5679
train_step 50	train_loss 1.1242	MSE 1.1242
train_step 51	train_loss 0.3856	MSE 0.3856
train_step 52	train_loss 1.2479	MSE 1.2479
train_step 53	train_loss 3.3677	MSE 3.3677
train_step 54	train_loss 0.0263	MSE 0.0263
train_step 55	train_loss 0.6695	MSE 0.6695
train_step 56	train_loss 1.3571	MSE 1.3571
train_step 57	train_loss 0.1050	MSE 0.1050
train_step 58	train_loss 0.3029	MSE 0.3029
train_step 59	train_loss 3.2091	MSE 3.2091
train_step 60	train_loss 1.2591	MSE 1.2591
train_step 61	train_loss 0.2791	MSE 0.2791
train_step 62	train_loss 5.7626	MSE 5.7626
train_step 63	train_loss 0.5903	MSE 0.5903
train_step 64	train_loss 0.2078	MSE 0.2078
train_step 65	train_loss 1.3386	MSE 1.3386
train_step 66	train_loss 0.8507	MSE 0.8507
train_step 67	train_loss 4.8851	MSE 4.8851
train_step 68	train_loss 0.1909	MSE 0.1909
train_step 69	train_loss 0.4495	MSE 0.4495
train_step 70	train_loss 0.5775	MSE 0.5775
train_step 71	train_loss 1.4423	MSE 1.4423
train_step 72	train_loss 0.3056	MSE 0.3056
train_step 73	train_loss 18.6287	MSE 18.6287
train_step 74	train_loss 0.4742	MSE 0.4742
train_step 75	train_loss 1.6773	MSE 1.6773
train_step 76	train_loss 2.2966	MSE 2.2966
train_step 77	train_loss 1.6095	MSE 1.6095
train_step 78	train_loss 0.5140	MSE 0.5140
train_step 79	train_loss 1.0200	MSE 1.0200
train_step 80	train_loss 1.0170	MSE 1.0170
train_step 81	train_loss 1.3078	MSE 1.3078
train_step 82	train_loss 2.7443	MSE 2.7443
train_step 83	train_loss 0.4138	MSE 0.4138
train_step 84	train_loss 18.8814	MSE 18.8814
train_step 85	train_loss 1.6599	MSE 1.6599
train_step 86	train_loss 0.6797	MSE 0.6797
train_step 87	train_loss 0.2949	MSE 0.2949
train_step 88	train_loss 0.0711	MSE 0.0711
train_step 89	train_loss 1.5541	MSE 1.5541
train_step 90	train_loss 1.5065	MSE 1.5065
train_step 91	train_loss 1.0867	MSE 1.0867
train_step 92	train_loss 1.7341	MSE 1.7341
train_step 93	train_loss 2.9666	MSE 2.9666
train_step 94	train_loss 0.1701	MSE 0.1701
train_step 95	train_loss 1.1651	MSE 1.1651
train_step 96	train_loss 0.6249	MSE 0.6249
train_step 97	train_loss 1.9335	MSE 1.9335
train_step 98	train_loss 0.6903	MSE 0.6903
train_step 99	train_loss 2.3144	MSE 2.3144
train_step 100	train_loss 2.0908	MSE 2.0908
train_step 101	train_loss 1.3281	MSE 1.3281
train_step 102	train_loss 1.5218	MSE 1.5218
train_step 103	train_loss 8.0734	MSE 8.0734
train_step 104	train_loss 0.6539	MSE 0.6539
train_step 105	train_loss 0.7661	MSE 0.7661
train_step 106	train_loss 1.2192	MSE 1.2192
train_step 107	train_loss 0.7342	MSE 0.7342
train_step 108	train_loss 4.6684	MSE 4.6684
train_step 109	train_loss 11.1113	MSE 11.1113
train_step 110	train_loss 10.7045	MSE 10.7045
train_step 111	train_loss 0.2539	MSE 0.2539
train_step 112	train_loss 1.1580	MSE 1.1580
train_step 113	train_loss 5.2412	MSE 5.2412
train_step 114	train_loss 0.4477	MSE 0.4477
train_step 115	train_loss 0.4473	MSE 0.4473
train_step 116	train_loss 1.1223	MSE 1.1223
train_step 117	train_loss 2.1456	MSE 2.1456
train_step 118	train_loss 0.1900	MSE 0.1900
train_step 119	train_loss 0.2356	MSE 0.2356
train_step 120	train_loss 2.3001	MSE 2.3001
train_step 121	train_loss 0.1725	MSE 0.1725
train_step 122	train_loss 0.6539	MSE 0.6539
train_step 123	train_loss 6.9054	MSE 6.9054
train_step 124	train_loss 1.2716	MSE 1.2716
train_step 125	train_loss 4.1404	MSE 4.1404
train_step 126	train_loss 1.6758	MSE 1.6758
train_step 127	train_loss 1.1792	MSE 1.1792
train_step 128	train_loss 4.6015	MSE 4.6015
train_step 129	train_loss 21.2228	MSE 21.2228
train_step 130	train_loss 4.2996	MSE 4.2996
train_step 131	train_loss 0.8822	MSE 0.8822
train_step 132	train_loss 1.6352	MSE 1.6352
train_step 133	train_loss 2.9069	MSE 2.9069
train_step 134	train_loss 0.9312	MSE 0.9312
train_step 135	train_loss 0.0088	MSE 0.0088
train_step 136	train_loss 1.1600	MSE 1.1600
train_step 137	train_loss 1.0498	MSE 1.0498
train_step 138	train_loss 1.7036	MSE 1.7036
train_step 139	train_loss 6.4701	MSE 6.4701
train_step 140	train_loss 1.0491	MSE 1.0491
train_step 141	train_loss 0.5369	MSE 0.5369
train_step 142	train_loss 2.1694	MSE 2.1694
train_step 143	train_loss 0.5286	MSE 0.5286
train_step 144	train_loss 1.3114	MSE 1.3114
train_step 145	train_loss 1.0030	MSE 1.0030
train_step 146	train_loss 7.4066	MSE 7.4066
train_step 147	train_loss 0.5376	MSE 0.5376
train_step 148	train_loss 3.6404	MSE 3.6404
train_step 149	train_loss 0.1675	MSE 0.1675
train_step 150	train_loss 0.3030	MSE 0.3030
train_step 151	train_loss 3.6887	MSE 3.6887
train_step 152	train_loss 2.4838	MSE 2.4838
train_step 153	train_loss 3.2930	MSE 3.2930
train_step 154	train_loss 0.0759	MSE 0.0759
train_step 155	train_loss 0.5616	MSE 0.5616
train_step 156	train_loss 1.3454	MSE 1.3454
train_step 157	train_loss 0.3489	MSE 0.3489
train_step 158	train_loss 4.4673	MSE 4.4673
train_step 159	train_loss 0.1384	MSE 0.1384
train_step 160	train_loss 0.2089	MSE 0.2089
train_step 161	train_loss 0.7013	MSE 0.7013
train_step 162	train_loss 0.6982	MSE 0.6982
train_step 163	train_loss 0.2014	MSE 0.2014
train_step 164	train_loss 0.0632	MSE 0.0632
train_step 165	train_loss 2.6399	MSE 2.6399
train_step 166	train_loss 2.4421	MSE 2.4421
train_step 167	train_loss 2.1955	MSE 2.1955
train_step 168	train_loss 2.8791	MSE 2.8791
train_step 169	train_loss 2.3383	MSE 2.3383
train_step 170	train_loss 3.4177	MSE 3.4177
train_step 171	train_loss 43.9553	MSE 43.9553
train_step 172	train_loss 28.9910	MSE 28.9910
train_step 173	train_loss 0.4442	MSE 0.4442
train_step 174	train_loss 2.9352	MSE 2.9352
train_step 175	train_loss 0.6900	MSE 0.6900
train_step 176	train_loss 0.9804	MSE 0.9804
train_step 177	train_loss 0.6178	MSE 0.6178
train_step 178	train_loss 1.4375	MSE 1.4375
train_step 179	train_loss 0.4673	MSE 0.4673
train_step 180	train_loss 2.3166	MSE 2.3166
train_step 181	train_loss 0.1379	MSE 0.1379
train_step 182	train_loss 2.8264	MSE 2.8264
train_step 183	train_loss 0.4484	MSE 0.4484
train_step 184	train_loss 11.7921	MSE 11.7921
train_step 185	train_loss 0.0617	MSE 0.0617
train_step 186	train_loss 3.3569	MSE 3.3569
train_step 187	train_loss 1.8243	MSE 1.8243
train_step 188	train_loss 0.1398	MSE 0.1398
train_step 189	train_loss 2.1326	MSE 2.1326
train_step 190	train_loss 1.2282	MSE 1.2282
train_step 191	train_loss 1.3527	MSE 1.3527
train_step 192	train_loss 1.0843	MSE 1.0843
train_step 193	train_loss 2.0389	MSE 2.0389
train_step 194	train_loss 1.8782	MSE 1.8782
train_step 195	train_loss 0.9694	MSE 0.9694
train_step 196	train_loss 0.2052	MSE 0.2052
train_step 197	train_loss 0.4079	MSE 0.4079
train_step 198	train_loss 0.0384	MSE 0.0384
train_step 199	train_loss 1.7326	MSE 1.7326
train_step 200	train_loss 1.3711	MSE 1.3711
train_step 201	train_loss 0.0841	MSE 0.0841
train_step 202	train_loss 0.0109	MSE 0.0109
train_step 203	train_loss 1.3522	MSE 1.3522
train_step 204	train_loss 0.0361	MSE 0.0361
train_step 205	train_loss 2.6338	MSE 2.6338
train_step 206	train_loss 0.1272	MSE 0.1272
train_step 207	train_loss 0.4928	MSE 0.4928
train_step 208	train_loss 0.2476	MSE 0.2476
train_step 209	train_loss 0.4225	MSE 0.4225
train_step 210	train_loss 4.7483	MSE 4.7483
train_step 211	train_loss 1.2555	MSE 1.2555
train_step 212	train_loss 18.8677	MSE 18.8677
train_step 213	train_loss 0.4838	MSE 0.4838
train_step 214	train_loss 0.2031	MSE 0.2031
train_step 215	train_loss 0.4901	MSE 0.4901
train_step 216	train_loss 3.2191	MSE 3.2191
train_step 217	train_loss 8.3497	MSE 8.3497
train_step 218	train_loss 3.3580	MSE 3.3580
train_step 219	train_loss 0.2899	MSE 0.2899
train_step 220	train_loss 1.9646	MSE 1.9646
train_step 221	train_loss 2.9240	MSE 2.9240
train_step 222	train_loss 0.8016	MSE 0.8016
train_step 223	train_loss 0.1377	MSE 0.1377
