train_step 1	train_loss 3.1285	MSE 3.1285
train_step 2	train_loss 0.3883	MSE 0.3883
train_step 3	train_loss 0.1772	MSE 0.1772
train_step 4	train_loss 0.5698	MSE 0.5698
train_step 5	train_loss 9.8021	MSE 9.8021
train_step 6	train_loss 0.7471	MSE 0.7471
train_step 7	train_loss 0.1341	MSE 0.1341
train_step 8	train_loss 3.3827	MSE 3.3827
train_step 9	train_loss 0.2830	MSE 0.2830
train_step 10	train_loss 4.1237	MSE 4.1237
train_step 11	train_loss 1.5645	MSE 1.5645
train_step 12	train_loss 2.4414	MSE 2.4414
train_step 13	train_loss 3.5020	MSE 3.5020
train_step 14	train_loss 8.4653	MSE 8.4653
train_step 15	train_loss 0.2736	MSE 0.2736
train_step 16	train_loss 2.9898	MSE 2.9898
train_step 17	train_loss 3.5907	MSE 3.5907
train_step 18	train_loss 1.3520	MSE 1.3520
train_step 19	train_loss 0.0150	MSE 0.0150
train_step 20	train_loss 0.0618	MSE 0.0618
train_step 21	train_loss 3.7302	MSE 3.7302
train_step 22	train_loss 1.9685	MSE 1.9685
train_step 23	train_loss 1.3399	MSE 1.3399
train_step 24	train_loss 2.5038	MSE 2.5038
train_step 25	train_loss 0.1601	MSE 0.1601
train_step 26	train_loss 1.2342	MSE 1.2342
train_step 27	train_loss 0.2480	MSE 0.2480
train_step 28	train_loss 0.7749	MSE 0.7749
train_step 29	train_loss 0.7975	MSE 0.7975
train_step 30	train_loss 2.7329	MSE 2.7329
train_step 31	train_loss 1.4986	MSE 1.4986
train_step 32	train_loss 0.4899	MSE 0.4899
train_step 33	train_loss 1.1319	MSE 1.1319
train_step 34	train_loss 3.6403	MSE 3.6403
train_step 35	train_loss 3.1246	MSE 3.1246
train_step 36	train_loss 1.6003	MSE 1.6003
train_step 37	train_loss 0.4104	MSE 0.4104
train_step 38	train_loss 1.8279	MSE 1.8279
train_step 39	train_loss 0.1132	MSE 0.1132
train_step 40	train_loss 0.7611	MSE 0.7611
train_step 41	train_loss 0.5361	MSE 0.5361
train_step 42	train_loss 0.2730	MSE 0.2730
train_step 43	train_loss 2.6160	MSE 2.6160
train_step 44	train_loss 0.2102	MSE 0.2102
train_step 45	train_loss 4.9992	MSE 4.9992
train_step 46	train_loss 0.3379	MSE 0.3379
train_step 47	train_loss 0.7548	MSE 0.7548
train_step 48	train_loss 0.5971	MSE 0.5971
train_step 49	train_loss 0.7725	MSE 0.7725
train_step 50	train_loss 2.3000	MSE 2.3000
train_step 51	train_loss 2.0988	MSE 2.0988
train_step 52	train_loss 0.9083	MSE 0.9083
train_step 53	train_loss 0.8310	MSE 0.8310
train_step 54	train_loss 1.5073	MSE 1.5073
train_step 55	train_loss 2.8187	MSE 2.8187
train_step 56	train_loss 5.1014	MSE 5.1014
train_step 57	train_loss 2.5481	MSE 2.5481
train_step 58	train_loss 3.3371	MSE 3.3371
train_step 59	train_loss 0.4574	MSE 0.4574
train_step 60	train_loss 13.4153	MSE 13.4153
train_step 61	train_loss 0.2577	MSE 0.2577
train_step 62	train_loss 1.5307	MSE 1.5307
train_step 63	train_loss 0.6138	MSE 0.6138
train_step 64	train_loss 0.4444	MSE 0.4444
train_step 65	train_loss 0.7536	MSE 0.7536
train_step 66	train_loss 2.7570	MSE 2.7570
train_step 67	train_loss 0.5197	MSE 0.5197
train_step 68	train_loss 1.7645	MSE 1.7645
train_step 69	train_loss 0.4273	MSE 0.4273
train_step 70	train_loss 3.4908	MSE 3.4908
