train_step 1	train_loss 4.5373	MSE 4.5373
train_step 2	train_loss 0.3912	MSE 0.3912
train_step 3	train_loss 0.7226	MSE 0.7226
train_step 4	train_loss 1.7465	MSE 1.7465
train_step 5	train_loss 0.5359	MSE 0.5359
train_step 6	train_loss 0.3386	MSE 0.3386
train_step 7	train_loss 4.9126	MSE 4.9126
train_step 8	train_loss 10.7237	MSE 10.7237
train_step 9	train_loss 1.9431	MSE 1.9431
train_step 10	train_loss 3.6508	MSE 3.6508
train_step 11	train_loss 0.5615	MSE 0.5615
train_step 12	train_loss 0.4847	MSE 0.4847
train_step 13	train_loss 1.2305	MSE 1.2305
train_step 14	train_loss 9.0575	MSE 9.0575
train_step 15	train_loss 1.2958	MSE 1.2958
train_step 16	train_loss 2.4269	MSE 2.4269
train_step 17	train_loss 1.4966	MSE 1.4966
train_step 18	train_loss 4.2194	MSE 4.2194
train_step 19	train_loss 1.0399	MSE 1.0399
train_step 20	train_loss 1.9361	MSE 1.9361
train_step 21	train_loss 0.2844	MSE 0.2844
train_step 22	train_loss 2.5784	MSE 2.5784
train_step 23	train_loss 0.9363	MSE 0.9363
train_step 24	train_loss 5.4552	MSE 5.4552
train_step 25	train_loss 0.9304	MSE 0.9304
train_step 26	train_loss 2.1292	MSE 2.1292
train_step 27	train_loss 1.1814	MSE 1.1814
train_step 28	train_loss 3.0295	MSE 3.0295
train_step 29	train_loss 0.2590	MSE 0.2590
train_step 30	train_loss 0.5517	MSE 0.5517
train_step 31	train_loss 2.6039	MSE 2.6039
train_step 32	train_loss 0.4899	MSE 0.4899
train_step 33	train_loss 3.5309	MSE 3.5309
train_step 34	train_loss 1.3421	MSE 1.3421
train_step 35	train_loss 2.0816	MSE 2.0816
train_step 36	train_loss 1.8518	MSE 1.8518
train_step 37	train_loss 2.3088	MSE 2.3088
train_step 38	train_loss 1.5307	MSE 1.5307
train_step 39	train_loss 0.6502	MSE 0.6502
train_step 40	train_loss 0.5282	MSE 0.5282
train_step 41	train_loss 0.5719	MSE 0.5719
train_step 42	train_loss 0.8429	MSE 0.8429
train_step 43	train_loss 1.9876	MSE 1.9876
train_step 44	train_loss 2.0468	MSE 2.0468
train_step 45	train_loss 0.1507	MSE 0.1507
train_step 46	train_loss 0.0875	MSE 0.0875
train_step 47	train_loss 0.2204	MSE 0.2204
train_step 48	train_loss 2.0564	MSE 2.0564
train_step 49	train_loss 3.1520	MSE 3.1520
train_step 50	train_loss 0.8655	MSE 0.8655
train_step 51	train_loss 0.2364	MSE 0.2364
train_step 52	train_loss 0.7303	MSE 0.7303
train_step 53	train_loss 0.9155	MSE 0.9155
train_step 54	train_loss 0.7321	MSE 0.7321
train_step 55	train_loss 1.9837	MSE 1.9837
train_step 56	train_loss 1.7867	MSE 1.7867
train_step 57	train_loss 0.2953	MSE 0.2953
train_step 58	train_loss 0.2576	MSE 0.2576
train_step 59	train_loss 3.7212	MSE 3.7212
train_step 60	train_loss 0.9156	MSE 0.9156
train_step 61	train_loss 0.5128	MSE 0.5128
train_step 62	train_loss 1.1530	MSE 1.1530
train_step 63	train_loss 1.4141	MSE 1.4141
train_step 64	train_loss 0.4917	MSE 0.4917
train_step 65	train_loss 0.2164	MSE 0.2164
train_step 66	train_loss 4.1251	MSE 4.1251
train_step 67	train_loss 0.5183	MSE 0.5183
train_step 68	train_loss 4.1209	MSE 4.1209
train_step 69	train_loss 1.5192	MSE 1.5192
train_step 70	train_loss 0.9100	MSE 0.9100
train_step 71	train_loss 8.6674	MSE 8.6674
train_step 72	train_loss 9.5620	MSE 9.5620
train_step 73	train_loss 0.8719	MSE 0.8719
train_step 74	train_loss 3.9668	MSE 3.9668
train_step 75	train_loss 1.4447	MSE 1.4447
train_step 76	train_loss 1.4155	MSE 1.4155
train_step 77	train_loss 0.2395	MSE 0.2395
train_step 78	train_loss 0.5583	MSE 0.5583
train_step 79	train_loss 0.8198	MSE 0.8198
train_step 80	train_loss 1.0104	MSE 1.0104
train_step 81	train_loss 1.8310	MSE 1.8310
train_step 82	train_loss 3.3666	MSE 3.3666
train_step 83	train_loss 0.6124	MSE 0.6124
train_step 84	train_loss 4.6534	MSE 4.6534
train_step 85	train_loss 12.7106	MSE 12.7106
train_step 86	train_loss 0.7965	MSE 0.7965
train_step 87	train_loss 2.9292	MSE 2.9292
train_step 88	train_loss 12.3325	MSE 12.3325
train_step 89	train_loss 2.6767	MSE 2.6767
train_step 90	train_loss 46.0024	MSE 46.0024
train_step 91	train_loss 1.7345	MSE 1.7345
train_step 92	train_loss 3.2584	MSE 3.2584
train_step 93	train_loss 7.2315	MSE 7.2315
train_step 94	train_loss 0.4305	MSE 0.4305
train_step 95	train_loss 1.3055	MSE 1.3055
train_step 96	train_loss 4.0487	MSE 4.0487
train_step 97	train_loss 0.1174	MSE 0.1174
train_step 98	train_loss 1.2434	MSE 1.2434
train_step 99	train_loss 1.6678	MSE 1.6678
train_step 100	train_loss 0.2473	MSE 0.2473
train_step 101	train_loss 1.8926	MSE 1.8926
train_step 102	train_loss 2.1923	MSE 2.1923
train_step 103	train_loss 2.5381	MSE 2.5381
train_step 104	train_loss 2.6647	MSE 2.6647
train_step 105	train_loss 2.5798	MSE 2.5798
train_step 106	train_loss 0.1377	MSE 0.1377
train_step 107	train_loss 0.0647	MSE 0.0647
train_step 108	train_loss 0.0519	MSE 0.0519
train_step 109	train_loss 0.0491	MSE 0.0491
train_step 110	train_loss 2.1273	MSE 2.1273
train_step 111	train_loss 1.0079	MSE 1.0079
train_step 112	train_loss 0.4420	MSE 0.4420
train_step 113	train_loss 1.0949	MSE 1.0949
train_step 114	train_loss 0.1797	MSE 0.1797
train_step 115	train_loss 50.1287	MSE 50.1287
train_step 116	train_loss 5.6751	MSE 5.6751
train_step 117	train_loss 0.8863	MSE 0.8863
train_step 118	train_loss 5.7899	MSE 5.7899
train_step 119	train_loss 0.8151	MSE 0.8151
train_step 120	train_loss 3.7143	MSE 3.7143
train_step 121	train_loss 2.6412	MSE 2.6412
train_step 122	train_loss 0.0682	MSE 0.0682
train_step 123	train_loss 1.8885	MSE 1.8885
train_step 124	train_loss 1.0872	MSE 1.0872
train_step 125	train_loss 1.1443	MSE 1.1443
train_step 126	train_loss 20.2312	MSE 20.2312
train_step 127	train_loss 0.4553	MSE 0.4553
train_step 128	train_loss 4.0631	MSE 4.0631
train_step 129	train_loss 0.5847	MSE 0.5847
train_step 130	train_loss 2.6333	MSE 2.6333
train_step 131	train_loss 0.5826	MSE 0.5826
train_step 132	train_loss 1.6788	MSE 1.6788
train_step 133	train_loss 0.5534	MSE 0.5534
train_step 134	train_loss 11.3452	MSE 11.3452
train_step 135	train_loss 1.1434	MSE 1.1434
train_step 136	train_loss 0.5415	MSE 0.5415
train_step 137	train_loss 4.5379	MSE 4.5379
train_step 138	train_loss 0.5059	MSE 0.5059
train_step 139	train_loss 5.1543	MSE 5.1543
train_step 140	train_loss 0.7925	MSE 0.7925
train_step 141	train_loss 2.5541	MSE 2.5541
train_step 142	train_loss 0.6153	MSE 0.6153
train_step 143	train_loss 2.0489	MSE 2.0489
train_step 144	train_loss 1.3034	MSE 1.3034
train_step 145	train_loss 1.3741	MSE 1.3741
train_step 146	train_loss 3.1016	MSE 3.1016
train_step 147	train_loss 0.2164	MSE 0.2164
train_step 148	train_loss 1.7348	MSE 1.7348
train_step 149	train_loss 1.2726	MSE 1.2726
train_step 150	train_loss 1.3150	MSE 1.3150
train_step 151	train_loss 0.6874	MSE 0.6874
train_step 152	train_loss 0.4295	MSE 0.4295
train_step 153	train_loss 3.8354	MSE 3.8354
